spa_booking_id,property_id,guest_id,customer_type,service_name,booking_date,service_date,duration_minutes,price,status
SP000040,P01,G21891,walk-in,Body Scrub,2023-07-01,2023-07-01,45,420000,completed
SP000041,P01,G22913,walk-in,Balinese Massage 90min,2023-07-01,2023-07-01,90,780000,completed
SP000042,P01,,walk-in,Balinese Massage 60min,2023-07-01,2023-07-01,60,540000,completed
SP000043,P01,G24169,walk-in,Reflexology,2023-07-01,2023-07-01,45,336000,completed
SP000044,P01,,walk-in,Facial Treatment,2023-07-01,2023-07-01,60,480000,completed
SP000045,P01,G24604,walk-in,Body Scrub,2023-07-01,2023-07-01,45,420000,completed
SP000046,P01,G22438,walk-in,Reflexology,2023-07-01,2023-07-01,45,336000,completed
SP000047,P01,G18357,walk-in,Reflexology,2023-07-01,2023-07-01,45,336000,completed
SP000048,P01,G00082,inhouse,Balinese Massage 60min,2023-07-02,2023-07-02,60,540000,completed
SP000049,P01,G17027,inhouse,Balinese Massage 60min,2023-07-02,2023-07-02,60,540000,completed
SP000050,P01,G08960,inhouse,Aromatherapy Massage 60min,2023-07-02,2023-07-02,60,600000,completed
SP000051,P01,G10519,inhouse,Facial Treatment,2023-07-02,2023-07-02,60,480000,completed
SP000052,P01,G08354,inhouse,Balinese Massage 90min,2023-07-02,2023-07-02,90,780000,completed
SP000053,P01,G02327,inhouse,Balinese Massage 90min,2023-07-01,2023-07-02,90,780000,completed
SP000054,P01,G11881,inhouse,Balinese Massage 60min,2023-07-02,2023-07-02,60,540000,completed
SP000055,P01,G00493,inhouse,Balinese Massage 60min,2023-07-02,2023-07-02,60,540000,completed
SP000056,P01,G03001,inhouse,Balinese Massage 90min,2023-07-01,2023-07-02,90,780000,completed
SP000057,P01,G12164,inhouse,Balinese Massage 60min,2023-07-02,2023-07-02,60,540000,cancelled
SP000058,P01,G07179,inhouse,Reflexology,2023-07-01,2023-07-02,45,336000,completed
SP000059,P01,G14900,inhouse,Balinese Massage 90min,2023-07-02,2023-07-02,90,780000,completed
SP000060,P01,G10519,inhouse,Balinese Massage 60min,2023-07-01,2023-07-02,60,540000,completed
SP000061,P01,G09191,inhouse,Aromatherapy Massage 90min,2023-07-01,2023-07-02,90,840000,completed
SP000062,P01,G08304,inhouse,Body Scrub,2023-07-02,2023-07-02,45,420000,completed
SP000063,P01,G02323,inhouse,Hot Stone Massage,2023-07-02,2023-07-02,90,1020000,completed
SP000064,P01,G00560,inhouse,Aromatherapy Massage 60min,2023-07-01,2023-07-02,60,600000,completed
SP000065,P01,G15477,inhouse,Hot Stone Massage,2023-07-01,2023-07-02,90,1020000,completed
SP000066,P01,G07803,inhouse,Aromatherapy Massage 60min,2023-07-01,2023-07-02,60,600000,completed
SP000067,P01,G12291,inhouse,Balinese Massage 90min,2023-07-01,2023-07-02,90,780000,completed
SP000068,P01,G11881,inhouse,Balinese Massage 60min,2023-07-02,2023-07-02,60,540000,completed
SP000069,P01,G08442,inhouse,Balinese Massage 90min,2023-07-02,2023-07-02,90,780000,completed
SP000070,P01,G15673,inhouse,Body Scrub,2023-07-02,2023-07-02,45,420000,completed
SP000071,P01,G02323,inhouse,Balinese Massage 60min,2023-07-01,2023-07-02,60,540000,completed
SP000072,P01,G02170,inhouse,Couple Package,2023-07-01,2023-07-02,120,2160000,completed
SP000073,P01,G14900,inhouse,Balinese Massage 60min,2023-07-02,2023-07-02,60,540000,completed
SP000074,P01,G04628,inhouse,Reflexology,2023-07-02,2023-07-02,45,336000,completed
SP000075,P01,G08269,inhouse,Balinese Massage 90min,2023-07-02,2023-07-02,90,780000,completed
SP000076,P01,G24214,walk-in,Body Scrub,2023-07-02,2023-07-02,45,420000,completed
SP000077,P01,,walk-in,Body Scrub,2023-07-01,2023-07-02,45,420000,completed
SP000078,P01,,walk-in,Facial Treatment,2023-07-01,2023-07-02,60,480000,completed
SP000079,P01,G18270,walk-in,Facial Treatment,2023-07-01,2023-07-02,60,480000,completed
SP000080,P01,,walk-in,Balinese Massage 60min,2023-07-02,2023-07-02,60,540000,completed
SP000081,P01,G24776,walk-in,Facial Treatment,2023-07-02,2023-07-02,60,480000,cancelled
SP000082,P01,G24765,walk-in,Balinese Massage 60min,2023-07-01,2023-07-02,60,540000,completed
SP000083,P01,,walk-in,Balinese Massage 90min,2023-07-01,2023-07-02,90,780000,completed
SP000084,P01,,walk-in,Balinese Massage 90min,2023-07-01,2023-07-02,90,780000,completed
SP000085,P01,,walk-in,Aromatherapy Massage 90min,2023-07-01,2023-07-02,90,840000,completed
SP000086,P01,G19927,walk-in,Balinese Massage 60min,2023-07-01,2023-07-02,60,540000,completed
SP000087,P01,G21033,walk-in,Balinese Massage 60min,2023-07-01,2023-07-02,60,540000,completed
SP000088,P01,G23950,walk-in,Reflexology,2023-07-02,2023-07-02,45,336000,cancelled
SP000089,P01,,walk-in,Facial Treatment,2023-07-02,2023-07-02,60,480000,completed
SP000090,P01,G21935,walk-in,Balinese Massage 90min,2023-07-02,2023-07-02,90,780000,completed
SP000091,P01,,walk-in,Reflexology,2023-07-02,2023-07-02,45,336000,completed
SP000092,P01,G24621,walk-in,Facial Treatment,2023-07-01,2023-07-02,60,480000,completed
SP000093,P01,,walk-in,Body Scrub,2023-07-02,2023-07-02,45,420000,completed
SP000094,P01,,walk-in,Facial Treatment,2023-07-01,2023-07-02,60,480000,completed
SP000095,P01,G12054,inhouse,Couple Package,2023-07-03,2023-07-03,120,2160000,completed
SP000096,P01,G13451,inhouse,Reflexology,2023-07-03,2023-07-03,45,336000,completed
SP000097,P01,G13641,inhouse,Balinese Massage 90min,2023-07-03,2023-07-03,90,780000,completed
SP000098,P01,G02194,inhouse,Balinese Massage 90min,2023-07-03,2023-07-03,90,780000,completed
SP000099,P01,G06918,inhouse,Aromatherapy Massage 90min,2023-07-01,2023-07-03,90,840000,completed
SP000100,P01,G04628,inhouse,Balinese Massage 60min,2023-07-01,2023-07-03,60,540000,completed
SP000101,P01,G17238,inhouse,Balinese Massage 60min,2023-07-02,2023-07-03,60,540000,completed
SP000102,P01,G08388,inhouse,Hot Stone Massage,2023-07-01,2023-07-03,90,1020000,completed
SP000103,P01,G01719,inhouse,Aromatherapy Massage 60min,2023-07-01,2023-07-03,60,600000,completed
SP000104,P01,G08960,inhouse,Balinese Massage 60min,2023-07-03,2023-07-03,60,540000,completed
SP000105,P01,G07637,inhouse,Couple Package,2023-07-01,2023-07-03,120,2160000,completed
SP000106,P01,G12232,inhouse,Aromatherapy Massage 90min,2023-07-02,2023-07-03,90,840000,completed
SP000107,P01,G08388,inhouse,Balinese Massage 60min,2023-07-01,2023-07-03,60,540000,completed
SP000108,P01,G09077,inhouse,Couple Package,2023-07-01,2023-07-03,120,2160000,completed
SP000109,P01,G08250,inhouse,Hot Stone Massage,2023-07-03,2023-07-03,90,1020000,completed
SP000110,P01,G08960,inhouse,Reflexology,2023-07-03,2023-07-03,45,336000,completed
SP000111,P01,G08426,inhouse,Facial Treatment,2023-07-03,2023-07-03,60,480000,completed
SP000112,P01,G03371,inhouse,Reflexology,2023-07-03,2023-07-03,45,336000,completed
SP000113,P01,G14455,inhouse,Reflexology,2023-07-01,2023-07-03,45,336000,cancelled
SP000114,P01,G01719,inhouse,Couple Package,2023-07-01,2023-07-03,120,2160000,completed
SP000115,P01,G08127,inhouse,Body Scrub,2023-07-03,2023-07-03,45,420000,completed
SP000116,P01,G08250,inhouse,Balinese Massage 90min,2023-07-02,2023-07-03,90,780000,completed
SP000117,P01,G12054,inhouse,Aromatherapy Massage 60min,2023-07-03,2023-07-03,60,600000,cancelled
SP000118,P01,G07210,inhouse,Balinese Massage 90min,2023-07-03,2023-07-03,90,780000,completed
SP000119,P01,G02341,inhouse,Balinese Massage 90min,2023-07-03,2023-07-03,90,780000,completed
SP000120,P01,G07374,inhouse,Balinese Massage 90min,2023-07-03,2023-07-03,90,780000,completed
SP000121,P01,G03250,inhouse,Balinese Massage 90min,2023-07-01,2023-07-03,90,780000,completed
SP000122,P01,G17238,inhouse,Balinese Massage 90min,2023-07-03,2023-07-03,90,780000,completed
SP000123,P01,G00934,inhouse,Couple Package,2023-07-02,2023-07-03,120,2160000,completed
SP000124,P01,G00082,inhouse,Balinese Massage 60min,2023-07-02,2023-07-03,60,540000,completed
SP000125,P01,G14455,inhouse,Aromatherapy Massage 90min,2023-07-03,2023-07-03,90,840000,completed
SP000126,P01,G10318,inhouse,Balinese Massage 60min,2023-07-01,2023-07-03,60,540000,completed
SP000127,P01,,walk-in,Aromatherapy Massage 60min,2023-07-01,2023-07-03,60,600000,completed
SP000128,P01,G20946,walk-in,Reflexology,2023-07-03,2023-07-03,45,336000,completed
SP000129,P01,G21363,walk-in,Balinese Massage 60min,2023-07-02,2023-07-03,60,540000,completed
SP000130,P01,G23684,walk-in,Reflexology,2023-07-03,2023-07-03,45,336000,completed
SP000131,P01,G21324,walk-in,Balinese Massage 60min,2023-07-03,2023-07-03,60,540000,completed
SP000132,P01,G20362,walk-in,Facial Treatment,2023-07-03,2023-07-03,60,480000,completed
SP000133,P01,,walk-in,Facial Treatment,2023-07-02,2023-07-03,60,480000,completed
SP000134,P01,G23502,walk-in,Balinese Massage 90min,2023-07-02,2023-07-03,90,780000,completed
SP000135,P01,G20896,walk-in,Body Scrub,2023-07-03,2023-07-03,45,420000,completed
SP000136,P01,,walk-in,Balinese Massage 90min,2023-07-03,2023-07-03,90,780000,completed
SP000137,P01,G02170,inhouse,Balinese Massage 90min,2023-07-01,2023-07-04,90,780000,completed
SP000138,P01,G03331,inhouse,Aromatherapy Massage 90min,2023-07-04,2023-07-04,90,840000,completed
SP000139,P01,G14879,inhouse,Aromatherapy Massage 60min,2023-07-03,2023-07-04,60,600000,completed
SP000140,P01,G00705,inhouse,Aromatherapy Massage 60min,2023-07-02,2023-07-04,60,600000,completed
SP000141,P01,G01719,inhouse,Balinese Massage 60min,2023-07-04,2023-07-04,60,540000,completed
SP000142,P01,G00705,inhouse,Hot Stone Massage,2023-07-03,2023-07-04,90,1020000,completed
SP000143,P01,G08822,inhouse,Body Scrub,2023-07-04,2023-07-04,45,420000,completed
SP000144,P01,G08134,inhouse,Balinese Massage 90min,2023-07-03,2023-07-04,90,780000,completed
SP000145,P01,G13300,inhouse,Balinese Massage 60min,2023-07-03,2023-07-04,60,540000,completed
SP000146,P01,G13430,inhouse,Hot Stone Massage,2023-07-03,2023-07-04,90,1020000,completed
SP000147,P01,G03536,inhouse,Aromatherapy Massage 60min,2023-07-04,2023-07-04,60,600000,completed
SP000148,P01,G14160,inhouse,Facial Treatment,2023-07-02,2023-07-04,60,480000,completed
SP000149,P01,G00821,inhouse,Balinese Massage 90min,2023-07-04,2023-07-04,90,780000,completed
SP000150,P01,G02170,inhouse,Reflexology,2023-07-04,2023-07-04,45,336000,completed
SP000151,P01,G01245,inhouse,Facial Treatment,2023-07-04,2023-07-04,60,480000,completed
SP000152,P01,G07637,inhouse,Aromatherapy Massage 90min,2023-07-03,2023-07-04,90,840000,cancelled
SP000153,P01,G06918,inhouse,Couple Package,2023-07-03,2023-07-04,120,2160000,completed
SP000154,P01,G14762,inhouse,Body Scrub,2023-07-04,2023-07-04,45,420000,completed
SP000155,P01,G04923,inhouse,Hot Stone Massage,2023-07-03,2023-07-04,90,1020000,completed
SP000156,P01,G14099,inhouse,Hot Stone Massage,2023-07-04,2023-07-04,90,1020000,completed
SP000157,P01,G14733,inhouse,Aromatherapy Massage 60min,2023-07-03,2023-07-04,60,600000,completed
SP000158,P01,G06953,inhouse,Couple Package,2023-07-04,2023-07-04,120,2160000,completed
SP000159,P01,G13430,inhouse,Aromatherapy Massage 60min,2023-07-03,2023-07-04,60,600000,completed
SP000160,P01,G01966,inhouse,Balinese Massage 90min,2023-07-04,2023-07-04,90,780000,completed
SP000161,P01,G11317,inhouse,Hot Stone Massage,2023-07-01,2023-07-04,90,1020000,completed
SP000162,P01,G06332,inhouse,Facial Treatment,2023-07-04,2023-07-04,60,480000,completed
SP000163,P01,G00043,inhouse,Balinese Massage 90min,2023-07-04,2023-07-04,90,780000,completed
SP000164,P01,G14762,inhouse,Balinese Massage 60min,2023-07-04,2023-07-04,60,540000,completed
SP000165,P01,G01567,inhouse,Facial Treatment,2023-07-01,2023-07-04,60,480000,cancelled
SP000166,P01,G01752,inhouse,Balinese Massage 90min,2023-07-01,2023-07-04,90,780000,completed
SP000167,P01,G06662,inhouse,Balinese Massage 90min,2023-07-04,2023-07-04,90,780000,completed
SP000168,P01,G14209,inhouse,Aromatherapy Massage 90min,2023-07-03,2023-07-04,90,840000,completed
SP000169,P01,G15176,inhouse,Aromatherapy Massage 90min,2023-07-02,2023-07-04,90,840000,completed
SP000170,P01,,walk-in,Balinese Massage 90min,2023-07-03,2023-07-04,90,780000,completed
SP000171,P01,,walk-in,Reflexology,2023-07-03,2023-07-04,45,336000,completed
SP000172,P01,,walk-in,Body Scrub,2023-07-04,2023-07-04,45,420000,completed
SP000173,P01,G20026,walk-in,Aromatherapy Massage 90min,2023-07-04,2023-07-04,90,840000,cancelled
SP000174,P01,G23354,walk-in,Body Scrub,2023-07-01,2023-07-04,45,420000,completed
SP000175,P01,,walk-in,Reflexology,2023-07-01,2023-07-04,45,336000,completed
SP000176,P01,G21018,walk-in,Facial Treatment,2023-07-03,2023-07-04,60,480000,completed
SP000177,P01,G21302,walk-in,Balinese Massage 60min,2023-07-04,2023-07-04,60,540000,completed
SP000178,P01,G10984,inhouse,Balinese Massage 90min,2023-07-05,2023-07-05,90,780000,completed
SP000179,P01,G05169,inhouse,Balinese Massage 90min,2023-07-05,2023-07-05,90,780000,completed
SP000180,P01,G08275,inhouse,Balinese Massage 90min,2023-07-02,2023-07-05,90,780000,completed
SP000181,P01,G14733,inhouse,Balinese Massage 90min,2023-07-04,2023-07-05,90,780000,completed
SP000182,P01,G06662,inhouse,Facial Treatment,2023-07-05,2023-07-05,60,480000,cancelled
SP000183,P01,G15975,inhouse,Balinese Massage 90min,2023-07-05,2023-07-05,90,780000,cancelled
SP000184,P01,G02392,inhouse,Balinese Massage 60min,2023-07-04,2023-07-05,60,540000,cancelled
SP000185,P01,G06229,inhouse,Balinese Massage 90min,2023-07-05,2023-07-05,90,780000,cancelled
SP000186,P01,G05971,inhouse,Balinese Massage 90min,2023-07-05,2023-07-05,90,780000,completed
SP000187,P01,G11222,inhouse,Aromatherapy Massage 90min,2023-07-04,2023-07-05,90,840000,completed
SP000188,P01,G02194,inhouse,Balinese Massage 90min,2023-07-04,2023-07-05,90,780000,completed
SP000189,P01,G01807,inhouse,Hot Stone Massage,2023-07-04,2023-07-05,90,1020000,completed
SP000190,P01,G11222,inhouse,Facial Treatment,2023-07-05,2023-07-05,60,480000,completed
SP000191,P01,G06154,inhouse,Balinese Massage 60min,2023-07-04,2023-07-05,60,540000,cancelled
SP000192,P01,G06154,inhouse,Aromatherapy Massage 90min,2023-07-05,2023-07-05,90,840000,completed
SP000193,P01,G08275,inhouse,Aromatherapy Massage 60min,2023-07-05,2023-07-05,60,600000,completed
SP000194,P01,G05758,inhouse,Hot Stone Massage,2023-07-03,2023-07-05,90,1020000,completed
SP000195,P01,G06229,inhouse,Balinese Massage 60min,2023-07-04,2023-07-05,60,540000,completed
SP000196,P01,G09777,inhouse,Hot Stone Massage,2023-07-03,2023-07-05,90,1020000,completed
SP000197,P01,G05834,inhouse,Facial Treatment,2023-07-04,2023-07-05,60,480000,completed
SP000198,P01,G00705,inhouse,Hot Stone Massage,2023-07-04,2023-07-05,90,1020000,cancelled
SP000199,P01,G09077,inhouse,Balinese Massage 90min,2023-07-05,2023-07-05,90,780000,completed
SP000200,P01,G08926,inhouse,Balinese Massage 60min,2023-07-05,2023-07-05,60,540000,completed
SP000201,P01,,walk-in,Reflexology,2023-07-05,2023-07-05,45,336000,completed
SP000202,P01,G23802,walk-in,Facial Treatment,2023-07-05,2023-07-05,60,480000,completed
SP000203,P01,,walk-in,Reflexology,2023-07-01,2023-07-05,45,336000,completed
SP000204,P01,G24555,walk-in,Body Scrub,2023-07-05,2023-07-05,45,420000,completed
SP000205,P01,,walk-in,Reflexology,2023-07-02,2023-07-05,45,336000,completed
SP000206,P01,,walk-in,Balinese Massage 90min,2023-07-04,2023-07-05,90,780000,completed
SP000207,P01,,walk-in,Aromatherapy Massage 60min,2023-07-03,2023-07-05,60,600000,cancelled
SP000208,P01,,walk-in,Balinese Massage 60min,2023-07-04,2023-07-05,60,540000,completed
SP000209,P01,,walk-in,Aromatherapy Massage 60min,2023-07-04,2023-07-05,60,600000,completed
SP000210,P01,,walk-in,Balinese Massage 90min,2023-07-04,2023-07-05,90,780000,cancelled
SP000211,P01,,walk-in,Balinese Massage 60min,2023-07-05,2023-07-05,60,540000,completed
SP000212,P01,G24001,walk-in,Balinese Massage 90min,2023-07-04,2023-07-05,90,780000,completed
SP000213,P01,,walk-in,Aromatherapy Massage 90min,2023-07-05,2023-07-05,90,840000,cancelled
SP000214,P01,G21103,walk-in,Body Scrub,2023-07-05,2023-07-05,45,420000,completed
SP000215,P01,,walk-in,Hot Stone Massage,2023-07-04,2023-07-05,90,1020000,completed
SP000216,P01,G03733,inhouse,Couple Package,2023-07-01,2023-07-06,120,2160000,completed
SP000217,P01,G09689,inhouse,Facial Treatment,2023-07-02,2023-07-06,60,480000,completed
SP000218,P01,G12246,inhouse,Balinese Massage 90min,2023-07-04,2023-07-06,90,780000,completed
SP000219,P01,G14330,inhouse,Balinese Massage 60min,2023-07-06,2023-07-06,60,540000,completed
SP000220,P01,G04922,inhouse,Facial Treatment,2023-07-06,2023-07-06,60,480000,completed
SP000221,P01,G15708,inhouse,Aromatherapy Massage 60min,2023-07-04,2023-07-06,60,600000,completed
SP000222,P01,G04922,inhouse,Aromatherapy Massage 90min,2023-07-06,2023-07-06,90,840000,completed
SP000223,P01,G08963,inhouse,Body Scrub,2023-07-06,2023-07-06,45,420000,completed
SP000224,P01,G07686,inhouse,Balinese Massage 60min,2023-07-05,2023-07-06,60,540000,cancelled
SP000225,P01,G17612,inhouse,Balinese Massage 60min,2023-07-02,2023-07-06,60,540000,cancelled
SP000226,P01,G00846,inhouse,Aromatherapy Massage 90min,2023-07-05,2023-07-06,90,840000,completed
SP000227,P01,G06348,inhouse,Hot Stone Massage,2023-07-05,2023-07-06,90,1020000,completed
SP000228,P01,G13784,inhouse,Reflexology,2023-07-06,2023-07-06,45,336000,completed
SP000229,P01,G07029,inhouse,Aromatherapy Massage 60min,2023-07-05,2023-07-06,60,600000,completed
SP000230,P01,G00846,inhouse,Balinese Massage 90min,2023-07-01,2023-07-06,90,780000,completed
SP000231,P01,G06229,inhouse,Body Scrub,2023-07-06,2023-07-06,45,420000,completed
SP000232,P01,G00622,inhouse,Aromatherapy Massage 90min,2023-07-05,2023-07-06,90,840000,completed
SP000233,P01,G01783,inhouse,Balinese Massage 60min,2023-07-03,2023-07-06,60,540000,completed
SP000234,P01,G15975,inhouse,Balinese Massage 60min,2023-07-04,2023-07-06,60,540000,completed
SP000235,P01,G08985,inhouse,Facial Treatment,2023-07-05,2023-07-06,60,480000,completed
SP000236,P01,G02392,inhouse,Balinese Massage 90min,2023-07-05,2023-07-06,90,780000,completed
SP000237,P01,G03254,inhouse,Couple Package,2023-07-06,2023-07-06,120,2160000,completed
SP000238,P01,G04756,inhouse,Couple Package,2023-07-06,2023-07-06,120,2160000,completed
SP000239,P01,,walk-in,Facial Treatment,2023-07-04,2023-07-06,60,480000,completed
SP000240,P01,,walk-in,Balinese Massage 60min,2023-07-04,2023-07-06,60,540000,completed
SP000241,P01,,walk-in,Balinese Massage 60min,2023-07-03,2023-07-06,60,540000,completed
SP000242,P01,G01523,walk-in,Aromatherapy Massage 60min,2023-07-03,2023-07-06,60,600000,completed
SP000243,P01,G18058,walk-in,Balinese Massage 90min,2023-07-05,2023-07-06,90,780000,completed
SP000244,P01,,walk-in,Hot Stone Massage,2023-07-05,2023-07-06,90,1020000,completed
SP000245,P01,,walk-in,Body Scrub,2023-07-04,2023-07-06,45,420000,completed
SP000246,P01,,walk-in,Reflexology,2023-07-05,2023-07-06,45,336000,completed
SP000247,P01,G23096,walk-in,Balinese Massage 60min,2023-07-05,2023-07-06,60,540000,completed
SP000248,P01,G18279,walk-in,Balinese Massage 60min,2023-07-04,2023-07-06,60,540000,completed
SP000249,P01,,walk-in,Facial Treatment,2023-07-03,2023-07-06,60,480000,completed
SP000250,P01,G23432,walk-in,Aromatherapy Massage 60min,2023-07-06,2023-07-06,60,600000,completed
SP000251,P01,G22214,walk-in,Facial Treatment,2023-07-06,2023-07-06,60,480000,completed
SP000252,P01,G21330,walk-in,Body Scrub,2023-07-06,2023-07-06,45,420000,completed
SP000253,P01,G19666,walk-in,Reflexology,2023-07-05,2023-07-06,45,336000,completed
SP000254,P01,,walk-in,Reflexology,2023-07-06,2023-07-06,45,336000,completed
SP000255,P01,,walk-in,Balinese Massage 90min,2023-07-06,2023-07-06,90,780000,cancelled
SP000256,P01,,walk-in,Hot Stone Massage,2023-07-05,2023-07-06,90,1020000,completed
SP000257,P01,G11935,inhouse,Balinese Massage 60min,2023-07-05,2023-07-07,60,540000,completed
SP000258,P01,G04720,inhouse,Body Scrub,2023-07-07,2023-07-07,45,420000,completed
SP000259,P01,G14452,inhouse,Balinese Massage 90min,2023-07-07,2023-07-07,90,780000,completed
SP000260,P01,G11863,inhouse,Balinese Massage 60min,2023-07-06,2023-07-07,60,540000,completed
SP000261,P01,G17997,inhouse,Facial Treatment,2023-07-05,2023-07-07,60,480000,completed
SP000262,P01,G02861,inhouse,Body Scrub,2023-07-07,2023-07-07,45,420000,completed
SP000263,P01,G04838,inhouse,Balinese Massage 60min,2023-07-06,2023-07-07,60,540000,completed
SP000264,P01,G15802,inhouse,Couple Package,2023-07-07,2023-07-07,120,2160000,completed
SP000265,P01,G12880,inhouse,Body Scrub,2023-07-07,2023-07-07,45,420000,cancelled
SP000266,P01,G05043,inhouse,Aromatherapy Massage 60min,2023-07-06,2023-07-07,60,600000,cancelled
SP000267,P01,G12543,inhouse,Balinese Massage 90min,2023-07-06,2023-07-07,90,780000,completed
SP000268,P01,G03016,inhouse,Aromatherapy Massage 60min,2023-07-06,2023-07-07,60,600000,cancelled
SP000269,P01,G03041,inhouse,Aromatherapy Massage 90min,2023-07-06,2023-07-07,90,840000,completed
SP000270,P01,G12675,inhouse,Reflexology,2023-07-02,2023-07-07,45,336000,completed
SP000271,P01,G09046,inhouse,Couple Package,2023-07-06,2023-07-07,120,2160000,completed
SP000272,P01,G01045,inhouse,Facial Treatment,2023-07-07,2023-07-07,60,480000,completed
SP000273,P01,G11222,inhouse,Aromatherapy Massage 90min,2023-07-05,2023-07-07,90,840000,completed
SP000274,P01,G15802,inhouse,Aromatherapy Massage 60min,2023-07-07,2023-07-07,60,600000,completed
SP000275,P01,G03386,inhouse,Balinese Massage 60min,2023-07-07,2023-07-07,60,540000,completed
SP000276,P01,G14216,inhouse,Aromatherapy Massage 90min,2023-07-07,2023-07-07,90,840000,completed
SP000277,P01,G03386,inhouse,Aromatherapy Massage 60min,2023-07-07,2023-07-07,60,600000,completed
SP000278,P01,G04838,inhouse,Aromatherapy Massage 90min,2023-07-03,2023-07-07,90,840000,completed
SP000279,P01,G09077,inhouse,Aromatherapy Massage 90min,2023-07-05,2023-07-07,90,840000,completed
SP000280,P01,,walk-in,Balinese Massage 90min,2023-07-06,2023-07-07,90,780000,completed
SP000281,P01,G24243,walk-in,Facial Treatment,2023-07-07,2023-07-07,60,480000,completed
SP000282,P01,G15712,inhouse,Facial Treatment,2023-07-07,2023-07-08,60,480000,completed
SP000283,P01,G12221,inhouse,Couple Package,2023-07-07,2023-07-08,120,2160000,completed
SP000284,P01,G07811,inhouse,Aromatherapy Massage 60min,2023-07-08,2023-07-08,60,600000,completed
