review_id,employee_id,review_period,score,notes
PR00037,E0007,2025-S2,2.56,Perlu peningkatan konsistensi
PR00038,E0007,2026-S1,2.55,Beberapa target belum tercapai
PR00039,E0008,2024-S1,3.64,"Kinerja baik, memenuhi target"
PR00040,E0008,2024-S2,3.66,"Kinerja baik, memenuhi target"
PR00041,E0008,2025-S1,3.93,Stabil dan dapat diandalkan
PR00042,E0008,2025-S2,3.82,Stabil dan dapat diandalkan
PR00043,E0008,2026-S1,3.99,Perlu sedikit peningkatan di komunikasi tim
PR00044,E0009,2023-S2,3.24,"Kinerja cukup, ada ruang perbaikan"
PR00045,E0009,2024-S1,2.85,"Kinerja cukup, ada ruang perbaikan"
PR00046,E0009,2024-S2,3.13,Beberapa target belum tercapai
PR00047,E0010,2026-S1,3.62,Perlu sedikit peningkatan di komunikasi tim
PR00048,E0011,2023-S2,3.95,Perlu sedikit peningkatan di komunikasi tim
PR00049,E0011,2024-S1,4.07,"Kinerja baik, memenuhi target"
PR00050,E0011,2024-S2,3.89,Stabil dan dapat diandalkan
PR00051,E0011,2025-S1,4.37,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00052,E0011,2025-S2,4.3,"Sangat diandalkan tim, guest feedback positif"
PR00053,E0011,2026-S1,4.19,"Kinerja baik, memenuhi target"
PR00054,E0012,2023-S2,3.55,"Kinerja baik, memenuhi target"
PR00055,E0012,2024-S1,3.6,Stabil dan dapat diandalkan
PR00056,E0012,2024-S2,3.34,"Kinerja cukup, ada ruang perbaikan"
PR00057,E0012,2025-S1,3.44,Perlu peningkatan konsistensi
PR00058,E0012,2025-S2,3.49,Beberapa target belum tercapai
PR00059,E0012,2026-S1,3.31,"Kinerja cukup, ada ruang perbaikan"
PR00060,E0013,2024-S1,3.32,"Kinerja cukup, ada ruang perbaikan"
PR00061,E0013,2024-S2,3.11,"Kinerja cukup, ada ruang perbaikan"
PR00062,E0013,2025-S1,3.14,"Kinerja cukup, ada ruang perbaikan"
PR00063,E0013,2025-S2,3.31,"Kinerja cukup, ada ruang perbaikan"
PR00064,E0013,2026-S1,3.16,Beberapa target belum tercapai
PR00065,E0014,2023-S2,3.98,Stabil dan dapat diandalkan
PR00066,E0014,2024-S1,3.98,"Kinerja baik, memenuhi target"
PR00067,E0014,2024-S2,3.77,"Kinerja baik, memenuhi target"
PR00068,E0014,2025-S1,3.99,Perlu sedikit peningkatan di komunikasi tim
PR00069,E0014,2025-S2,4.23,"Kinerja baik, memenuhi target"
PR00070,E0014,2026-S1,3.98,"Kinerja baik, memenuhi target"
PR00071,E0015,2026-S1,4.63,"Sangat diandalkan tim, guest feedback positif"
PR00072,E0016,2023-S2,3.37,Perlu peningkatan konsistensi
PR00073,E0016,2024-S1,3.59,Perlu sedikit peningkatan di komunikasi tim
PR00074,E0016,2024-S2,3.57,"Kinerja baik, memenuhi target"
PR00075,E0016,2025-S1,3.13,Beberapa target belum tercapai
PR00076,E0016,2025-S2,3.29,"Kinerja cukup, ada ruang perbaikan"
PR00077,E0016,2026-S1,3.21,Beberapa target belum tercapai
PR00078,E0017,2023-S2,2.98,Perlu peningkatan konsistensi
PR00079,E0017,2024-S1,3.23,Beberapa target belum tercapai
PR00080,E0017,2024-S2,3.09,"Kinerja cukup, ada ruang perbaikan"
PR00081,E0017,2025-S1,3.11,Beberapa target belum tercapai
PR00082,E0017,2025-S2,3.52,Perlu sedikit peningkatan di komunikasi tim
PR00083,E0017,2026-S1,3.44,Beberapa target belum tercapai
PR00084,E0018,2023-S2,3.79,"Kinerja baik, memenuhi target"
PR00085,E0018,2024-S1,3.49,"Kinerja cukup, ada ruang perbaikan"
PR00086,E0018,2024-S2,3.47,Perlu peningkatan konsistensi
PR00087,E0018,2025-S1,3.43,"Kinerja cukup, ada ruang perbaikan"
PR00088,E0018,2025-S2,3.78,Stabil dan dapat diandalkan
PR00089,E0018,2026-S1,3.48,Perlu peningkatan konsistensi
PR00090,E0019,2023-S2,3.25,"Kinerja cukup, ada ruang perbaikan"
PR00091,E0019,2024-S1,2.97,Beberapa target belum tercapai
PR00092,E0019,2024-S2,3.13,Beberapa target belum tercapai
PR00093,E0019,2025-S1,3.2,Perlu peningkatan konsistensi
PR00094,E0019,2025-S2,2.93,"Kinerja cukup, ada ruang perbaikan"
PR00095,E0019,2026-S1,3.18,Beberapa target belum tercapai
PR00096,E0020,2023-S2,3.47,"Kinerja cukup, ada ruang perbaikan"
PR00097,E0020,2024-S1,3.24,Beberapa target belum tercapai
PR00098,E0020,2024-S2,3.53,Perlu sedikit peningkatan di komunikasi tim
PR00099,E0020,2025-S1,3.21,Beberapa target belum tercapai
PR00100,E0020,2025-S2,3.59,Perlu sedikit peningkatan di komunikasi tim
PR00101,E0020,2026-S1,3.34,Beberapa target belum tercapai
PR00102,E0021,2025-S2,2.94,Beberapa target belum tercapai
PR00103,E0021,2026-S1,2.61,Perlu peningkatan konsistensi
PR00104,E0022,2023-S2,3.62,Perlu sedikit peningkatan di komunikasi tim
PR00105,E0022,2024-S1,3.31,"Kinerja cukup, ada ruang perbaikan"
PR00106,E0022,2024-S2,3.32,"Kinerja cukup, ada ruang perbaikan"
PR00107,E0022,2025-S1,3.42,"Kinerja cukup, ada ruang perbaikan"
PR00108,E0022,2025-S2,3.43,"Kinerja cukup, ada ruang perbaikan"
PR00109,E0022,2026-S1,3.51,Perlu sedikit peningkatan di komunikasi tim
PR00110,E0023,2023-S2,4.31,"Sangat diandalkan tim, guest feedback positif"
PR00111,E0023,2024-S1,3.97,Perlu sedikit peningkatan di komunikasi tim
PR00112,E0023,2024-S2,4.09,Perlu sedikit peningkatan di komunikasi tim
PR00113,E0023,2025-S1,4.08,Stabil dan dapat diandalkan
PR00114,E0023,2025-S2,3.96,Stabil dan dapat diandalkan
PR00115,E0023,2026-S1,3.87,Stabil dan dapat diandalkan
PR00116,E0024,2023-S2,3.43,Perlu peningkatan konsistensi
PR00117,E0024,2024-S1,3.27,"Kinerja cukup, ada ruang perbaikan"
PR00118,E0024,2024-S2,2.99,Beberapa target belum tercapai
PR00119,E0024,2025-S1,3.28,"Kinerja cukup, ada ruang perbaikan"
PR00120,E0024,2025-S2,3.09,Beberapa target belum tercapai
PR00121,E0024,2026-S1,2.93,"Kinerja cukup, ada ruang perbaikan"
PR00122,E0025,2026-S1,3.59,"Kinerja baik, memenuhi target"
PR00123,E0026,2023-S2,3.68,Stabil dan dapat diandalkan
PR00124,E0026,2024-S1,3.85,Perlu sedikit peningkatan di komunikasi tim
PR00125,E0026,2024-S2,3.37,Beberapa target belum tercapai
PR00126,E0026,2025-S1,3.59,"Kinerja baik, memenuhi target"
PR00127,E0026,2025-S2,3.95,Stabil dan dapat diandalkan
PR00128,E0026,2026-S1,3.75,Perlu sedikit peningkatan di komunikasi tim
PR00129,E0027,2023-S2,3.72,"Kinerja baik, memenuhi target"
PR00130,E0027,2024-S1,3.91,Stabil dan dapat diandalkan
PR00131,E0027,2024-S2,4.18,Perlu sedikit peningkatan di komunikasi tim
PR00132,E0027,2025-S1,4.22,"Kinerja baik, memenuhi target"
PR00133,E0027,2025-S2,4.13,"Kinerja baik, memenuhi target"
PR00134,E0027,2026-S1,3.95,"Kinerja baik, memenuhi target"
PR00135,E0028,2023-S2,2.95,Perlu peningkatan konsistensi
PR00136,E0028,2024-S1,3.17,Beberapa target belum tercapai
PR00137,E0028,2024-S2,3.46,Beberapa target belum tercapai
PR00138,E0028,2025-S1,3.04,"Kinerja cukup, ada ruang perbaikan"
PR00139,E0028,2025-S2,3.16,"Kinerja cukup, ada ruang perbaikan"
PR00140,E0028,2026-S1,3.02,"Kinerja cukup, ada ruang perbaikan"
PR00141,E0029,2025-S1,3.41,"Kinerja cukup, ada ruang perbaikan"
PR00142,E0029,2025-S2,3.42,Beberapa target belum tercapai
PR00143,E0029,2026-S1,3.76,Perlu sedikit peningkatan di komunikasi tim
PR00144,E0031,2023-S2,4.12,Perlu sedikit peningkatan di komunikasi tim
PR00145,E0031,2024-S1,4.13,Stabil dan dapat diandalkan
PR00146,E0032,2023-S2,3.36,"Kinerja cukup, ada ruang perbaikan"
PR00147,E0032,2024-S1,3.34,Beberapa target belum tercapai
PR00148,E0032,2024-S2,3.38,Perlu peningkatan konsistensi
PR00149,E0032,2025-S1,3.23,"Kinerja cukup, ada ruang perbaikan"
PR00150,E0032,2025-S2,3.06,Perlu peningkatan konsistensi
PR00151,E0032,2026-S1,3.39,Beberapa target belum tercapai
PR00152,E0033,2023-S2,3.56,"Kinerja baik, memenuhi target"
PR00153,E0033,2024-S1,3.69,Stabil dan dapat diandalkan
PR00154,E0033,2024-S2,3.84,Stabil dan dapat diandalkan
PR00155,E0033,2025-S1,3.7,Stabil dan dapat diandalkan
PR00156,E0033,2025-S2,3.8,"Kinerja baik, memenuhi target"
PR00157,E0033,2026-S1,4.05,"Kinerja baik, memenuhi target"
PR00158,E0034,2023-S2,4.09,Perlu sedikit peningkatan di komunikasi tim
PR00159,E0034,2024-S1,3.55,"Kinerja baik, memenuhi target"
PR00160,E0034,2024-S2,3.85,Perlu sedikit peningkatan di komunikasi tim
PR00161,E0034,2025-S1,3.54,Stabil dan dapat diandalkan
PR00162,E0034,2025-S2,3.51,Perlu sedikit peningkatan di komunikasi tim
PR00163,E0034,2026-S1,3.27,"Kinerja cukup, ada ruang perbaikan"
PR00164,E0035,2024-S2,4.02,Stabil dan dapat diandalkan
PR00165,E0035,2025-S1,3.89,Perlu sedikit peningkatan di komunikasi tim
PR00166,E0035,2025-S2,3.63,Stabil dan dapat diandalkan
PR00167,E0035,2026-S1,3.67,"Kinerja baik, memenuhi target"
PR00168,E0036,2023-S2,3.88,"Kinerja baik, memenuhi target"
PR00169,E0036,2024-S1,3.88,"Kinerja baik, memenuhi target"
PR00170,E0036,2024-S2,4.02,Perlu sedikit peningkatan di komunikasi tim
PR00171,E0036,2025-S1,3.67,Stabil dan dapat diandalkan
PR00172,E0036,2025-S2,3.92,Stabil dan dapat diandalkan
PR00173,E0036,2026-S1,4.01,"Kinerja baik, memenuhi target"
PR00174,E0037,2023-S2,3.27,Perlu peningkatan konsistensi
PR00175,E0037,2024-S1,3.09,"Kinerja cukup, ada ruang perbaikan"
PR00176,E0037,2024-S2,3.27,Beberapa target belum tercapai
PR00177,E0037,2025-S1,3.17,Perlu peningkatan konsistensi
PR00178,E0037,2025-S2,3.48,Perlu peningkatan konsistensi
PR00179,E0037,2026-S1,3.34,Beberapa target belum tercapai
PR00180,E0038,2024-S2,2.19,Perlu evaluasi lebih lanjut
PR00181,E0038,2025-S1,2.44,Beberapa keluhan terkait kedisiplinan
PR00182,E0038,2025-S2,2.65,Beberapa target belum tercapai
PR00183,E0038,2026-S1,2.51,"Kinerja cukup, ada ruang perbaikan"
PR00184,E0039,2025-S2,3.38,Perlu peningkatan konsistensi
PR00185,E0039,2026-S1,3.29,Perlu peningkatan konsistensi
PR00186,E0040,2024-S1,4.5,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00187,E0040,2024-S2,4.26,"Kinerja baik, memenuhi target"
PR00188,E0040,2025-S1,4.4,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00189,E0040,2025-S2,4.1,Stabil dan dapat diandalkan
PR00190,E0040,2026-S1,4.27,"Kinerja baik, memenuhi target"
PR00191,E0041,2023-S2,3.53,Perlu sedikit peningkatan di komunikasi tim
PR00192,E0041,2024-S1,3.56,Perlu sedikit peningkatan di komunikasi tim
PR00193,E0041,2024-S2,3.24,Perlu peningkatan konsistensi
PR00194,E0041,2025-S1,3.61,Stabil dan dapat diandalkan
PR00195,E0041,2025-S2,3.29,"Kinerja cukup, ada ruang perbaikan"
PR00196,E0041,2026-S1,3.58,"Kinerja baik, memenuhi target"
PR00197,E0042,2023-S2,2.9,Perlu peningkatan konsistensi
PR00198,E0042,2024-S1,3.06,Beberapa target belum tercapai
PR00199,E0042,2024-S2,2.99,Beberapa target belum tercapai
PR00200,E0042,2025-S1,2.81,Beberapa target belum tercapai
PR00201,E0042,2025-S2,2.59,"Kinerja cukup, ada ruang perbaikan"
PR00202,E0042,2026-S1,2.55,Perlu peningkatan konsistensi
PR00203,E0043,2024-S1,4.47,"Kinerja sangat baik, konsisten melebihi ekspektasi"
PR00204,E0043,2024-S2,4.31,"Sangat diandalkan tim, guest feedback positif"
PR00205,E0043,2025-S1,3.51,"Kinerja baik, memenuhi target"
PR00206,E0044,2023-S2,4.23,"Kinerja baik, memenuhi target"
PR00207,E0044,2024-S1,4.02,Stabil dan dapat diandalkan
PR00208,E0044,2024-S2,4.73,"Sangat diandalkan tim, guest feedback positif"
PR00209,E0044,2025-S1,4.41,"Kinerja sangat baik, konsisten melebihi ekspektasi"
PR00210,E0044,2025-S2,4.58,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00211,E0044,2026-S1,4.22,"Kinerja baik, memenuhi target"
PR00212,E0046,2023-S2,2.58,Beberapa target belum tercapai
PR00213,E0046,2024-S1,2.8,Beberapa target belum tercapai
PR00214,E0046,2024-S2,2.44,Perlu evaluasi lebih lanjut
PR00215,E0046,2025-S1,2.71,Perlu peningkatan konsistensi
PR00216,E0046,2025-S2,2.86,"Kinerja cukup, ada ruang perbaikan"
PR00217,E0046,2026-S1,2.81,Beberapa target belum tercapai
PR00218,E0047,2023-S2,3.62,"Kinerja baik, memenuhi target"
PR00219,E0047,2024-S1,3.49,"Kinerja cukup, ada ruang perbaikan"
PR00220,E0047,2024-S2,3.53,"Kinerja baik, memenuhi target"
PR00221,E0047,2025-S1,3.32,"Kinerja cukup, ada ruang perbaikan"
PR00222,E0047,2025-S2,3.42,Beberapa target belum tercapai
PR00223,E0047,2026-S1,3.71,"Kinerja baik, memenuhi target"
PR00224,E0048,2023-S2,4.16,Perlu sedikit peningkatan di komunikasi tim
PR00225,E0048,2024-S1,3.48,Beberapa target belum tercapai
PR00226,E0048,2024-S2,3.62,Perlu sedikit peningkatan di komunikasi tim
PR00227,E0048,2025-S1,3.8,Stabil dan dapat diandalkan
PR00228,E0048,2025-S2,3.82,Stabil dan dapat diandalkan
PR00229,E0048,2026-S1,3.71,"Kinerja baik, memenuhi target"
PR00230,E0049,2024-S2,2.57,"Kinerja cukup, ada ruang perbaikan"
PR00231,E0049,2025-S1,2.68,Beberapa target belum tercapai
PR00232,E0049,2025-S2,2.89,Beberapa target belum tercapai
PR00233,E0049,2026-S1,2.82,"Kinerja cukup, ada ruang perbaikan"
PR00234,E0050,2025-S2,3.88,Stabil dan dapat diandalkan
PR00235,E0050,2026-S1,3.02,Perlu peningkatan konsistensi
PR00236,E0051,2023-S2,3.3,Beberapa target belum tercapai
PR00237,E0051,2024-S1,3.48,Beberapa target belum tercapai
PR00238,E0051,2024-S2,3.65,Stabil dan dapat diandalkan
PR00239,E0051,2025-S1,3.38,"Kinerja cukup, ada ruang perbaikan"
PR00240,E0051,2025-S2,3.71,"Kinerja baik, memenuhi target"
PR00241,E0051,2026-S1,3.75,"Kinerja baik, memenuhi target"
PR00242,E0052,2023-S2,3.87,"Kinerja baik, memenuhi target"
PR00243,E0052,2024-S1,3.91,Stabil dan dapat diandalkan
PR00244,E0052,2024-S2,3.86,Stabil dan dapat diandalkan
PR00245,E0052,2025-S1,3.87,Stabil dan dapat diandalkan
PR00246,E0052,2025-S2,3.71,Stabil dan dapat diandalkan
PR00247,E0052,2026-S1,3.78,Stabil dan dapat diandalkan
PR00248,E0053,2023-S2,2.74,Perlu peningkatan konsistensi
PR00249,E0053,2024-S1,2.84,"Kinerja cukup, ada ruang perbaikan"
PR00250,E0053,2024-S2,2.77,"Kinerja cukup, ada ruang perbaikan"
PR00251,E0053,2025-S1,3.21,"Kinerja cukup, ada ruang perbaikan"
PR00252,E0053,2025-S2,3.01,"Kinerja cukup, ada ruang perbaikan"
PR00253,E0053,2026-S1,2.96,Perlu peningkatan konsistensi
PR00254,E0055,2023-S2,1.97,"Kinerja di bawah standar, perlu coaching intensif"
PR00255,E0055,2024-S1,1.98,Beberapa keluhan terkait kedisiplinan
PR00256,E0055,2024-S2,1.79,Perlu evaluasi lebih lanjut
PR00257,E0055,2025-S1,2.04,Beberapa keluhan terkait kedisiplinan
PR00258,E0055,2025-S2,1.79,Beberapa keluhan terkait kedisiplinan
PR00259,E0056,2023-S2,4.43,"Sangat diandalkan tim, guest feedback positif"
PR00260,E0056,2024-S1,4.87,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00261,E0056,2024-S2,5.0,"Sangat diandalkan tim, guest feedback positif"
PR00262,E0056,2025-S1,4.58,"Sangat diandalkan tim, guest feedback positif"
PR00263,E0056,2025-S2,4.34,"Sangat diandalkan tim, guest feedback positif"
PR00264,E0056,2026-S1,4.47,"Kinerja sangat baik, konsisten melebihi ekspektasi"
PR00265,E0057,2024-S1,3.43,Beberapa target belum tercapai
PR00266,E0057,2024-S2,3.46,"Kinerja cukup, ada ruang perbaikan"
PR00267,E0057,2025-S1,3.13,Perlu peningkatan konsistensi
PR00268,E0058,2023-S2,4.15,"Kinerja baik, memenuhi target"
PR00269,E0058,2024-S1,3.58,Stabil dan dapat diandalkan
PR00270,E0058,2024-S2,3.8,"Kinerja baik, memenuhi target"
PR00271,E0058,2025-S1,3.87,Stabil dan dapat diandalkan
PR00272,E0058,2025-S2,4.02,Stabil dan dapat diandalkan
PR00273,E0058,2026-S1,4.11,Perlu sedikit peningkatan di komunikasi tim
PR00274,E0059,2023-S2,4.32,"Sangat diandalkan tim, guest feedback positif"
PR00275,E0059,2024-S1,4.4,"Sangat diandalkan tim, guest feedback positif"
PR00276,E0059,2024-S2,4.49,"Kinerja sangat baik, konsisten melebihi ekspektasi"
PR00277,E0059,2025-S1,4.87,"Kinerja sangat baik, konsisten melebihi ekspektasi"
PR00278,E0059,2025-S2,4.76,"Kinerja sangat baik, konsisten melebihi ekspektasi"
PR00279,E0059,2026-S1,4.39,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00280,E0060,2023-S2,3.26,Perlu peningkatan konsistensi
PR00281,E0060,2024-S1,3.41,Perlu peningkatan konsistensi
PR00282,E0060,2024-S2,3.45,"Kinerja cukup, ada ruang perbaikan"
PR00283,E0060,2025-S1,3.24,"Kinerja cukup, ada ruang perbaikan"
PR00284,E0060,2025-S2,3.67,"Kinerja baik, memenuhi target"
PR00285,E0060,2026-S1,3.64,Stabil dan dapat diandalkan
PR00286,E0061,2025-S1,4.44,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00287,E0061,2025-S2,4.37,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00288,E0062,2023-S2,4.08,"Kinerja baik, memenuhi target"
PR00289,E0062,2024-S1,3.7,"Kinerja baik, memenuhi target"
PR00290,E0062,2024-S2,3.78,Perlu sedikit peningkatan di komunikasi tim
PR00291,E0062,2025-S1,3.75,"Kinerja baik, memenuhi target"
PR00292,E0062,2025-S2,3.56,Stabil dan dapat diandalkan
PR00293,E0062,2026-S1,3.7,"Kinerja baik, memenuhi target"
PR00294,E0063,2023-S2,3.32,"Kinerja cukup, ada ruang perbaikan"
PR00295,E0063,2024-S1,3.25,Perlu peningkatan konsistensi
PR00296,E0063,2024-S2,3.27,Beberapa target belum tercapai
PR00297,E0063,2025-S1,3.56,Perlu sedikit peningkatan di komunikasi tim
PR00298,E0063,2025-S2,3.4,Perlu peningkatan konsistensi
PR00299,E0063,2026-S1,3.07,Perlu peningkatan konsistensi
PR00300,E0064,2023-S2,3.81,"Kinerja baik, memenuhi target"
PR00301,E0064,2024-S1,3.71,Perlu sedikit peningkatan di komunikasi tim
PR00302,E0064,2024-S2,4.16,"Kinerja baik, memenuhi target"
PR00303,E0064,2025-S1,3.65,"Kinerja baik, memenuhi target"
PR00304,E0064,2025-S2,3.64,Stabil dan dapat diandalkan
PR00305,E0064,2026-S1,3.81,"Kinerja baik, memenuhi target"
PR00306,E0065,2023-S2,2.9,Beberapa target belum tercapai
PR00307,E0065,2024-S1,2.84,Perlu peningkatan konsistensi
PR00308,E0065,2024-S2,2.79,Perlu peningkatan konsistensi
PR00309,E0067,2023-S2,4.13,Stabil dan dapat diandalkan
PR00310,E0067,2024-S1,4.3,"Sangat diandalkan tim, guest feedback positif"
PR00311,E0067,2024-S2,4.06,Stabil dan dapat diandalkan
PR00312,E0067,2025-S1,4.07,Perlu sedikit peningkatan di komunikasi tim
PR00313,E0067,2025-S2,4.3,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00314,E0067,2026-S1,4.19,Stabil dan dapat diandalkan
PR00315,E0068,2024-S2,3.77,Stabil dan dapat diandalkan
PR00316,E0068,2025-S1,3.48,"Kinerja cukup, ada ruang perbaikan"
PR00317,E0068,2025-S2,3.52,Stabil dan dapat diandalkan
PR00318,E0068,2026-S1,3.47,"Kinerja cukup, ada ruang perbaikan"
PR00319,E0069,2023-S2,3.14,Perlu peningkatan konsistensi
PR00320,E0069,2024-S1,3.59,Perlu sedikit peningkatan di komunikasi tim
PR00321,E0069,2024-S2,3.42,"Kinerja cukup, ada ruang perbaikan"
PR00322,E0069,2025-S1,3.4,"Kinerja cukup, ada ruang perbaikan"
PR00323,E0069,2025-S2,3.27,Beberapa target belum tercapai
PR00324,E0069,2026-S1,3.58,"Kinerja baik, memenuhi target"
PR00325,E0070,2023-S2,4.1,"Kinerja baik, memenuhi target"
PR00326,E0070,2024-S1,4.54,"Sangat diandalkan tim, guest feedback positif"
PR00327,E0070,2024-S2,4.5,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00328,E0071,2023-S2,3.59,"Kinerja baik, memenuhi target"
PR00329,E0071,2024-S1,3.62,Stabil dan dapat diandalkan
PR00330,E0071,2024-S2,3.21,"Kinerja cukup, ada ruang perbaikan"
PR00331,E0071,2025-S1,3.17,"Kinerja cukup, ada ruang perbaikan"
PR00332,E0071,2025-S2,3.45,Perlu peningkatan konsistensi
PR00333,E0071,2026-S1,3.27,"Kinerja cukup, ada ruang perbaikan"
PR00334,E0072,2023-S2,2.37,"Kinerja di bawah standar, perlu coaching intensif"
PR00335,E0072,2024-S1,2.41,Beberapa keluhan terkait kedisiplinan
PR00336,E0072,2024-S2,2.43,"Kinerja di bawah standar, perlu coaching intensif"
PR00337,E0072,2025-S1,2.54,Perlu peningkatan konsistensi
PR00338,E0072,2025-S2,2.86,Beberapa target belum tercapai
PR00339,E0072,2026-S1,2.63,Beberapa target belum tercapai
PR00340,E0073,2023-S2,4.55,"Kinerja sangat baik, konsisten melebihi ekspektasi"
PR00341,E0073,2024-S1,4.44,"Kinerja sangat baik, konsisten melebihi ekspektasi"
PR00342,E0073,2024-S2,4.52,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00343,E0073,2025-S1,4.44,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00344,E0073,2025-S2,4.49,"Kinerja sangat baik, konsisten melebihi ekspektasi"
PR00345,E0073,2026-S1,4.47,"Sangat diandalkan tim, guest feedback positif"
PR00346,E0074,2024-S1,3.2,Perlu peningkatan konsistensi
PR00347,E0074,2024-S2,3.18,"Kinerja cukup, ada ruang perbaikan"
PR00348,E0074,2025-S1,3.3,Perlu peningkatan konsistensi
PR00349,E0074,2025-S2,3.3,"Kinerja cukup, ada ruang perbaikan"
PR00350,E0074,2026-S1,3.33,Perlu peningkatan konsistensi
PR00351,E0075,2023-S2,4.72,"Sangat diandalkan tim, guest feedback positif"
PR00352,E0075,2024-S1,4.88,"Kinerja sangat baik, konsisten melebihi ekspektasi"
PR00353,E0075,2024-S2,4.55,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00354,E0075,2025-S1,4.34,"Sangat diandalkan tim, guest feedback positif"
PR00355,E0075,2025-S2,4.53,"Kinerja sangat baik, konsisten melebihi ekspektasi"
PR00356,E0075,2026-S1,4.46,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00357,E0076,2024-S1,4.51,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00358,E0076,2024-S2,4.01,Stabil dan dapat diandalkan
PR00359,E0076,2025-S1,4.42,"Inisiatif tinggi, layak dipertimbangkan untuk promosi"
PR00360,E0076,2025-S2,4.43,"Kinerja sangat baik, konsisten melebihi ekspektasi"
PR00361,E0076,2026-S1,4.5,"Sangat diandalkan tim, guest feedback positif"
PR00362,E0077,2023-S2,3.76,"Kinerja baik, memenuhi target"
PR00363,E0077,2024-S1,4.23,"Kinerja baik, memenuhi target"
PR00364,E0077,2024-S2,4.2,Stabil dan dapat diandalkan
PR00365,E0077,2025-S1,4.09,Perlu sedikit peningkatan di komunikasi tim
PR00366,E0077,2025-S2,4.29,Perlu sedikit peningkatan di komunikasi tim
PR00367,E0077,2026-S1,4.02,"Kinerja baik, memenuhi target"
PR00368,E0078,2023-S2,3.14,Beberapa target belum tercapai
PR00369,E0078,2024-S1,2.93,Beberapa target belum tercapai
