waste_id,outlet_id,date,ingredient_id,quantity_wasted,reason
WS0000048,OUT013,2026-06-07,ING013,0.012,expired
WS0000049,OUT006,2024-12-06,ING024,0.35,overproduction
WS0000050,OUT017,2025-11-29,ING015,0.002,overproduction
WS0000051,OUT003,2024-09-20,ING017,0.006,expired
WS0000052,OUT005,2025-12-04,ING021,0.011,expired
WS0000053,OUT012,2024-02-04,ING012,0.028,spillage
WS0000054,OUT003,2024-07-04,ING022,0.104,spillage
WS0000055,OUT014,2024-12-16,ING009,0.017,expired
WS0000056,OUT016,2023-09-23,ING018,0.042,overproduction
WS0000057,OUT015,2024-04-08,ING009,0.113,overproduction
WS0000058,OUT017,2025-03-13,ING024,0.084,expired
WS0000059,OUT006,2023-10-14,ING017,0.011,spillage
WS0000060,OUT017,2024-04-16,ING005,0.006,spillage
WS0000061,OUT015,2024-10-19,ING011,0.036,overproduction
WS0000062,OUT007,2025-12-25,ING022,0.115,spillage
WS0000063,OUT007,2026-04-03,ING019,0.194,overproduction
WS0000064,OUT013,2023-12-06,ING025,0.146,overproduction
WS0000065,OUT005,2024-01-04,ING026,0.086,overproduction
WS0000066,OUT012,2024-07-30,ING019,0.086,spillage
WS0000067,OUT016,2023-09-09,ING010,0.008,overproduction
WS0000068,OUT012,2024-08-31,ING011,0.088,expired
WS0000069,OUT004,2025-06-26,ING002,0.021,expired
WS0000070,OUT001,2025-08-29,ING009,0.37,expired
WS0000071,OUT015,2024-10-16,ING019,0.058,expired
WS0000072,OUT006,2023-11-13,ING010,0.012,spillage
WS0000073,OUT016,2024-01-08,ING025,0.013,expired
WS0000074,OUT001,2024-06-05,ING008,0.015,spillage
WS0000075,OUT017,2025-05-09,ING028,0.003,overproduction
WS0000076,OUT016,2024-02-22,ING020,0.002,overproduction
WS0000077,OUT017,2026-03-30,ING010,0.014,expired
WS0000078,OUT006,2024-11-11,ING025,0.252,expired
WS0000079,OUT015,2026-02-12,ING030,0.021,expired
WS0000080,OUT007,2025-01-17,ING016,0.037,spillage
WS0000081,OUT005,2023-07-22,ING011,0.219,spillage
WS0000082,OUT009,2025-02-13,ING015,0.01,spillage
WS0000083,OUT017,2023-10-21,ING008,0.002,spillage
WS0000084,OUT003,2025-06-17,ING006,0.003,expired
WS0000085,OUT011,2025-08-02,ING003,0.095,overproduction
WS0000086,OUT004,2026-03-16,ING005,0.017,expired
WS0000087,OUT015,2025-07-17,ING003,0.394,expired
WS0000088,OUT014,2024-08-18,ING014,0.002,overproduction
WS0000089,OUT009,2023-09-10,ING009,0.032,overproduction
WS0000090,OUT015,2024-11-30,ING001,0.199,expired
WS0000091,OUT008,2023-08-25,ING006,0.012,expired
WS0000092,OUT013,2025-10-27,ING028,0.027,overproduction
WS0000093,OUT006,2024-07-14,ING016,0.024,overproduction
WS0000094,OUT012,2024-08-11,ING024,0.121,overproduction
WS0000095,OUT001,2024-07-08,ING013,0.12,overproduction
WS0000096,OUT004,2024-06-26,ING012,0.007,spillage
WS0000097,OUT011,2025-11-06,ING002,0.009,expired
WS0000098,OUT007,2024-03-20,ING006,0.004,overproduction
WS0000099,OUT001,2024-11-10,ING003,0.342,overproduction
WS0000100,OUT007,2024-01-05,ING025,0.416,overproduction
WS0000101,OUT005,2024-05-02,ING003,1.029,spillage
WS0000102,OUT004,2025-12-19,ING005,0.004,overproduction
WS0000103,OUT012,2025-04-05,ING012,0.051,overproduction
WS0000104,OUT013,2023-12-14,ING011,0.1,expired
WS0000105,OUT005,2025-11-02,ING018,0.519,spillage
WS0000106,OUT014,2026-01-21,ING027,0.006,expired
WS0000107,OUT002,2026-06-14,ING026,0.038,expired
WS0000108,OUT007,2026-05-03,ING013,0.055,expired
WS0000109,OUT017,2024-02-28,ING019,0.064,overproduction
WS0000110,OUT004,2025-05-28,ING022,0.043,overproduction
WS0000111,OUT002,2023-12-28,ING028,0.064,overproduction
WS0000112,OUT012,2025-02-20,ING004,0.069,expired
WS0000113,OUT001,2025-02-15,ING026,0.082,spillage
WS0000114,OUT009,2024-04-03,ING012,0.034,spillage
WS0000115,OUT014,2024-03-17,ING022,0.044,overproduction
WS0000116,OUT012,2026-03-01,ING026,0.024,overproduction
WS0000117,OUT008,2024-08-20,ING025,0.02,overproduction
WS0000118,OUT012,2025-09-28,ING018,0.158,overproduction
WS0000119,OUT012,2026-05-07,ING029,0.023,overproduction
WS0000120,OUT007,2026-04-29,ING028,0.136,overproduction
WS0000121,OUT011,2026-01-06,ING002,0.005,overproduction
WS0000122,OUT012,2023-08-28,ING006,0.091,overproduction
WS0000123,OUT017,2024-12-03,ING010,0.005,overproduction
WS0000124,OUT014,2025-08-21,ING009,0.011,overproduction
WS0000125,OUT001,2026-04-06,ING008,0.035,expired
WS0000126,OUT006,2025-11-18,ING015,0.02,overproduction
WS0000127,OUT006,2025-05-19,ING022,0.119,spillage
WS0000128,OUT016,2023-09-01,ING018,0.052,spillage
WS0000129,OUT011,2024-06-17,ING007,0.013,expired
WS0000130,OUT017,2023-07-18,ING014,0.007,expired
WS0000131,OUT011,2024-03-28,ING011,0.001,expired
WS0000132,OUT003,2025-03-19,ING017,0.009,overproduction
WS0000133,OUT002,2025-12-07,ING019,0.04,overproduction
WS0000134,OUT010,2024-12-11,ING018,0.05,expired
WS0000135,OUT003,2025-04-11,ING024,0.156,overproduction
WS0000136,OUT015,2026-04-17,ING006,0.139,overproduction
WS0000137,OUT005,2025-01-19,ING004,0.055,spillage
WS0000138,OUT011,2026-04-19,ING005,0.016,overproduction
WS0000139,OUT015,2024-09-01,ING005,0.128,overproduction
WS0000140,OUT003,2026-02-20,ING021,0.019,spillage
WS0000141,OUT001,2025-11-21,ING018,0.307,overproduction
WS0000142,OUT014,2026-01-01,ING002,0.021,expired
WS0000143,OUT009,2025-11-14,ING011,0.156,expired
WS0000144,OUT010,2024-04-20,ING023,0.015,expired
WS0000145,OUT017,2025-04-22,ING021,0.003,overproduction
WS0000146,OUT008,2024-11-19,ING028,0.006,overproduction
WS0000147,OUT002,2025-09-10,ING018,0.09,spillage
WS0000148,OUT008,2025-03-04,ING025,0.123,overproduction
WS0000149,OUT009,2023-10-28,ING015,0.009,overproduction
WS0000150,OUT010,2023-12-19,ING011,0.01,expired
WS0000151,OUT011,2023-08-27,ING001,0.023,overproduction
WS0000152,OUT009,2025-05-17,ING012,0.035,expired
WS0000153,OUT002,2026-01-23,ING018,0.042,spillage
WS0000154,OUT012,2023-11-07,ING009,0.06,overproduction
WS0000155,OUT006,2026-05-27,ING019,0.056,expired
WS0000156,OUT009,2025-06-17,ING013,0.042,overproduction
WS0000157,OUT006,2024-01-05,ING028,0.15,overproduction
WS0000158,OUT016,2026-06-24,ING015,0.003,spillage
WS0000159,OUT002,2024-05-25,ING011,0.024,overproduction
WS0000160,OUT012,2024-08-02,ING014,0.066,overproduction
WS0000161,OUT011,2023-09-13,ING009,0.008,overproduction
WS0000162,OUT015,2025-11-17,ING024,0.184,overproduction
WS0000163,OUT013,2026-06-11,ING018,0.095,overproduction
WS0000164,OUT010,2025-08-04,ING011,0.006,overproduction
WS0000165,OUT002,2024-10-19,ING024,0.057,spillage
WS0000166,OUT007,2024-10-16,ING012,0.028,overproduction
WS0000167,OUT003,2026-06-01,ING014,0.032,spillage
WS0000168,OUT004,2024-10-30,ING029,0.019,spillage
WS0000169,OUT015,2024-12-29,ING010,0.024,expired
WS0000170,OUT007,2025-02-13,ING017,0.006,expired
WS0000171,OUT008,2024-10-19,ING030,0.004,overproduction
WS0000172,OUT003,2023-10-14,ING030,0.006,overproduction
WS0000173,OUT006,2025-08-09,ING025,0.34,expired
WS0000174,OUT012,2026-02-27,ING008,0.023,expired
WS0000175,OUT009,2024-08-07,ING016,0.021,expired
WS0000176,OUT003,2024-11-26,ING011,0.04,overproduction
WS0000177,OUT013,2024-04-13,ING003,0.08,expired
WS0000178,OUT009,2023-07-29,ING015,0.017,spillage
WS0000179,OUT011,2024-03-27,ING006,0.006,overproduction
WS0000180,OUT004,2023-10-08,ING012,0.005,expired
WS0000181,OUT013,2024-12-31,ING029,0.037,spillage
WS0000182,OUT003,2024-03-01,ING024,0.13,overproduction
WS0000183,OUT004,2023-11-19,ING002,0.04,expired
WS0000184,OUT009,2025-09-26,ING001,0.237,overproduction
WS0000185,OUT009,2025-07-21,ING008,0.041,overproduction
WS0000186,OUT016,2026-03-08,ING012,0.012,expired
WS0000187,OUT007,2025-10-29,ING025,0.07,overproduction
WS0000188,OUT002,2023-12-09,ING018,0.111,expired
WS0000189,OUT015,2023-12-05,ING016,0.02,expired
WS0000190,OUT002,2024-08-10,ING017,0.007,expired
WS0000191,OUT004,2024-10-18,ING011,0.047,expired
WS0000192,OUT010,2025-12-11,ING023,0.047,spillage
WS0000193,OUT003,2025-01-23,ING011,0.036,spillage
WS0000194,OUT005,2025-05-22,ING008,0.036,overproduction
WS0000195,OUT012,2024-07-08,ING026,0.013,overproduction
WS0000196,OUT009,2024-09-20,ING003,0.314,expired
WS0000197,OUT002,2024-09-08,ING002,0.007,overproduction
WS0000198,OUT003,2026-05-02,ING027,0.765,overproduction
WS0000199,OUT015,2025-11-03,ING010,0.03,spillage
WS0000200,OUT004,2024-05-11,ING011,0.056,overproduction
WS0000201,OUT014,2024-04-26,ING011,0.004,overproduction
WS0000202,OUT015,2026-06-23,ING030,0.014,overproduction
WS0000203,OUT006,2023-09-03,ING006,0.009,overproduction
WS0000204,OUT012,2026-01-01,ING012,0.027,overproduction
WS0000205,OUT010,2026-05-28,ING013,0.008,overproduction
WS0000206,OUT003,2025-07-27,ING023,0.036,spillage
WS0000207,OUT012,2023-12-27,ING006,0.078,spillage
WS0000208,OUT010,2024-09-27,ING012,0.016,spillage
WS0000209,OUT011,2024-08-08,ING024,0.019,expired
WS0000210,OUT007,2025-04-04,ING024,0.253,overproduction
WS0000211,OUT009,2026-04-27,ING003,0.329,overproduction
WS0000212,OUT006,2026-01-24,ING030,0.014,overproduction
WS0000213,OUT010,2026-01-28,ING006,0.002,expired
WS0000214,OUT003,2024-05-25,ING026,0.081,spillage
WS0000215,OUT002,2024-06-08,ING012,0.036,expired
WS0000216,OUT006,2023-07-28,ING002,0.033,expired
WS0000217,OUT007,2024-09-23,ING006,0.004,spillage
WS0000218,OUT010,2024-05-11,ING022,0.094,spillage
WS0000219,OUT005,2026-05-15,ING028,0.201,expired
WS0000220,OUT012,2025-02-24,ING012,0.015,expired
WS0000221,OUT008,2023-08-07,ING007,0.005,overproduction
WS0000222,OUT016,2024-09-12,ING002,0.014,expired
WS0000223,OUT010,2025-03-05,ING014,0.003,spillage
WS0000224,OUT009,2025-04-20,ING012,0.035,overproduction
WS0000225,OUT003,2024-10-18,ING012,0.029,spillage
WS0000226,OUT013,2023-07-07,ING018,0.173,expired
WS0000227,OUT013,2025-10-29,ING018,0.025,overproduction
WS0000228,OUT010,2023-07-10,ING002,0.007,expired
WS0000229,OUT004,2024-02-10,ING016,0.009,expired
WS0000230,OUT015,2023-11-12,ING021,0.013,overproduction
WS0000231,OUT006,2024-09-01,ING029,0.012,expired
WS0000232,OUT009,2026-05-01,ING013,0.103,expired
WS0000233,OUT013,2023-09-07,ING013,0.005,overproduction
WS0000234,OUT006,2024-01-22,ING002,0.019,expired
WS0000235,OUT003,2024-04-28,ING010,0.011,overproduction
WS0000236,OUT012,2024-03-19,ING012,0.034,overproduction
WS0000237,OUT010,2025-10-22,ING028,0.049,expired
WS0000238,OUT006,2024-04-06,ING002,0.034,overproduction
WS0000239,OUT005,2024-08-30,ING029,0.044,expired
WS0000240,OUT013,2024-01-18,ING018,0.057,spillage
WS0000241,OUT008,2026-05-09,ING022,0.075,overproduction
WS0000242,OUT003,2025-10-11,ING028,0.065,overproduction
WS0000243,OUT008,2026-04-30,ING011,0.019,overproduction
WS0000244,OUT005,2026-06-22,ING020,0.054,expired
WS0000245,OUT010,2024-03-06,ING016,0.004,spillage
WS0000246,OUT005,2023-08-25,ING028,0.052,expired
WS0000247,OUT013,2023-10-12,ING018,0.062,spillage
WS0000248,OUT008,2024-09-21,ING017,0.001,expired
WS0000249,OUT011,2025-10-17,ING024,0.022,overproduction
WS0000250,OUT011,2025-01-08,ING014,0.012,overproduction
WS0000251,OUT015,2025-09-17,ING011,0.015,expired
WS0000252,OUT014,2025-06-28,ING013,0.013,expired
WS0000253,OUT012,2025-01-14,ING027,0.21,spillage
WS0000254,OUT009,2025-07-04,ING003,0.245,spillage
WS0000255,OUT011,2024-08-10,ING016,0.008,expired
WS0000256,OUT007,2024-02-09,ING007,0.017,expired
WS0000257,OUT002,2025-07-25,ING007,0.006,spillage
WS0000258,OUT015,2024-10-15,ING015,0.014,spillage
WS0000259,OUT012,2024-12-30,ING016,0.031,spillage
WS0000260,OUT009,2025-06-21,ING030,0.027,spillage
WS0000261,OUT010,2025-04-30,ING024,0.15,expired
WS0000262,OUT017,2025-06-03,ING012,0.01,expired
WS0000263,OUT012,2026-05-20,ING019,0.097,spillage
WS0000264,OUT009,2024-09-12,ING005,0.07,overproduction
WS0000265,OUT001,2025-08-24,ING014,0.057,expired
WS0000266,OUT001,2026-01-01,ING003,0.338,overproduction
WS0000267,OUT012,2024-11-06,ING015,0.031,spillage
WS0000268,OUT002,2023-07-12,ING029,0.012,overproduction
WS0000269,OUT004,2024-10-25,ING010,0.02,expired
WS0000270,OUT007,2025-12-28,ING019,0.234,expired
WS0000271,OUT012,2025-04-04,ING018,0.522,overproduction
WS0000272,OUT004,2025-01-18,ING011,0.042,expired
WS0000273,OUT002,2025-07-11,ING009,0.066,expired
WS0000274,OUT012,2025-12-13,ING012,0.09,spillage
WS0000275,OUT004,2026-06-17,ING012,0.002,expired
WS0000276,OUT009,2025-12-29,ING003,0.529,overproduction
WS0000277,OUT006,2023-07-12,ING013,0.06,expired
WS0000278,OUT002,2025-12-22,ING002,0.033,expired
WS0000279,OUT006,2026-06-19,ING018,0.161,expired
WS0000280,OUT012,2024-06-07,ING006,0.065,overproduction
WS0000281,OUT010,2023-12-31,ING019,0.072,spillage
WS0000282,OUT015,2024-11-06,ING007,0.046,expired
WS0000283,OUT007,2023-12-08,ING007,0.016,expired
WS0000284,OUT016,2026-01-15,ING019,0.046,spillage
WS0000285,OUT005,2023-09-18,ING030,0.064,expired
WS0000286,OUT015,2023-11-25,ING016,0.022,overproduction
WS0000287,OUT003,2025-03-01,ING026,0.063,overproduction
WS0000288,OUT003,2025-09-12,ING010,0.015,expired
WS0000289,OUT003,2024-01-30,ING018,0.044,expired
WS0000290,OUT016,2026-04-12,ING029,0.006,overproduction
WS0000291,OUT010,2025-11-16,ING011,0.043,spillage
WS0000292,OUT010,2023-07-16,ING024,0.042,overproduction
WS0000293,OUT001,2024-12-03,ING020,0.054,overproduction
WS0000294,OUT005,2023-09-22,ING016,0.026,overproduction
WS0000295,OUT008,2025-03-06,ING025,0.087,expired
WS0000296,OUT002,2024-03-21,ING011,0.027,expired
WS0000297,OUT010,2024-10-27,ING009,0.006,spillage
WS0000298,OUT002,2023-10-30,ING019,0.024,spillage
WS0000299,OUT007,2023-08-02,ING020,0.016,expired
WS0000300,OUT005,2024-02-10,ING014,0.055,overproduction
WS0000301,OUT006,2025-01-16,ING015,0.052,spillage
WS0000302,OUT011,2023-10-22,ING013,0.019,expired
WS0000303,OUT013,2025-04-15,ING003,0.067,overproduction
WS0000304,OUT016,2025-08-05,ING017,0.001,overproduction
WS0000305,OUT004,2024-12-09,ING018,0.053,expired
WS0000306,OUT002,2025-01-04,ING027,0.586,expired
WS0000307,OUT008,2024-07-10,ING024,0.078,expired
WS0000308,OUT007,2024-01-10,ING011,0.086,spillage
WS0000309,OUT005,2025-04-10,ING021,0.012,spillage
WS0000310,OUT001,2025-08-22,ING017,0.003,expired
WS0000311,OUT013,2024-09-01,ING011,0.046,expired
WS0000312,OUT007,2026-01-27,ING012,0.061,overproduction
WS0000313,OUT017,2025-10-21,ING011,0.038,expired
WS0000314,OUT017,2025-12-02,ING009,0.033,overproduction
WS0000315,OUT004,2025-04-28,ING028,0.003,overproduction
WS0000316,OUT004,2023-07-18,ING005,0.007,overproduction
WS0000317,OUT013,2025-01-08,ING002,0.028,overproduction
WS0000318,OUT014,2024-12-03,ING015,0.006,expired
WS0000319,OUT005,2025-05-15,ING027,0.13,expired
WS0000320,OUT005,2023-07-07,ING009,0.184,overproduction
WS0000321,OUT014,2026-04-03,ING024,0.077,overproduction
WS0000322,OUT006,2025-11-12,ING018,0.038,expired
WS0000323,OUT001,2025-05-10,ING006,0.236,spillage
WS0000324,OUT004,2025-12-18,ING006,0.007,overproduction
WS0000325,OUT002,2025-02-22,ING028,0.046,overproduction
WS0000326,OUT012,2023-11-26,ING029,0.014,overproduction
WS0000327,OUT012,2024-03-03,ING028,0.052,overproduction
WS0000328,OUT003,2024-09-20,ING015,0.019,overproduction
WS0000329,OUT004,2026-01-23,ING008,0.005,expired
WS0000330,OUT008,2026-04-12,ING016,0.002,overproduction
WS0000331,OUT008,2023-08-23,ING012,0.009,expired
WS0000332,OUT010,2024-01-16,ING007,0.01,expired
WS0000333,OUT007,2024-04-10,ING015,0.041,spillage
WS0000334,OUT005,2025-03-01,ING003,0.467,overproduction
WS0000335,OUT011,2024-07-06,ING019,0.018,spillage
WS0000336,OUT006,2024-07-26,ING022,0.692,expired
WS0000337,OUT012,2026-01-07,ING004,0.037,overproduction
WS0000338,OUT016,2025-09-04,ING003,0.088,overproduction
WS0000339,OUT006,2025-12-10,ING003,0.203,overproduction
WS0000340,OUT005,2023-09-29,ING002,0.045,spillage
WS0000341,OUT012,2024-02-25,ING020,0.04,expired
WS0000342,OUT013,2026-04-19,ING003,0.06,overproduction
WS0000343,OUT005,2023-07-27,ING013,0.11,overproduction
WS0000344,OUT008,2024-05-05,ING013,0.008,spillage
WS0000345,OUT001,2024-12-28,ING018,0.652,spillage
WS0000346,OUT012,2026-03-25,ING016,0.016,overproduction
WS0000347,OUT011,2023-12-20,ING027,0.028,spillage
WS0000348,OUT003,2026-01-10,ING028,0.094,overproduction
WS0000349,OUT002,2023-09-29,ING026,0.136,overproduction
WS0000350,OUT016,2023-10-24,ING014,0.006,overproduction
WS0000351,OUT008,2026-06-24,ING001,0.012,expired
WS0000352,OUT015,2025-03-05,ING007,0.029,overproduction
WS0000353,OUT009,2024-03-26,ING026,0.008,expired
WS0000354,OUT013,2024-12-23,ING025,0.218,expired
WS0000355,OUT005,2025-10-18,ING029,0.033,spillage
WS0000356,OUT013,2024-07-24,ING011,0.073,spillage
WS0000357,OUT011,2024-04-27,ING016,0.003,overproduction
WS0000358,OUT008,2024-05-23,ING005,0.005,overproduction
WS0000359,OUT009,2024-11-07,ING024,0.066,expired
WS0000360,OUT013,2025-07-18,ING026,0.097,spillage
WS0000361,OUT014,2023-08-04,ING010,0.013,expired
WS0000362,OUT014,2025-05-11,ING025,0.024,spillage
WS0000363,OUT016,2023-11-17,ING026,0.016,expired
WS0000364,OUT004,2024-05-16,ING006,0.026,spillage
WS0000365,OUT009,2026-01-29,ING005,0.078,spillage
WS0000366,OUT012,2026-02-19,ING029,0.007,overproduction
WS0000367,OUT008,2024-08-18,ING027,0.018,overproduction
WS0000368,OUT004,2024-08-23,ING007,0.016,spillage
WS0000369,OUT005,2024-08-28,ING004,0.216,expired
WS0000370,OUT002,2024-04-29,ING010,0.023,overproduction
WS0000371,OUT006,2025-01-24,ING018,0.307,spillage
WS0000372,OUT009,2026-01-13,ING030,0.013,expired
WS0000373,OUT001,2026-06-09,ING021,0.015,expired
WS0000374,OUT008,2023-07-10,ING001,0.013,overproduction
WS0000375,OUT013,2025-03-07,ING025,0.069,overproduction
WS0000376,OUT014,2023-07-14,ING012,0.004,expired
WS0000377,OUT009,2024-09-30,ING018,0.075,expired
WS0000378,OUT012,2024-06-16,ING014,0.053,expired
WS0000379,OUT010,2026-02-10,ING018,0.002,overproduction
WS0000380,OUT013,2026-04-21,ING007,0.011,overproduction
WS0000381,OUT016,2023-07-17,ING023,0.003,overproduction
WS0000382,OUT010,2024-05-28,ING029,0.006,overproduction
WS0000383,OUT005,2025-04-16,ING024,0.303,expired
WS0000384,OUT006,2025-03-28,ING007,0.012,spillage
WS0000385,OUT002,2026-03-09,ING013,0.02,expired
WS0000386,OUT016,2023-12-27,ING006,0.004,overproduction
WS0000387,OUT011,2025-05-20,ING005,0.005,overproduction
WS0000388,OUT010,2026-05-08,ING027,0.153,spillage
WS0000389,OUT002,2025-06-05,ING030,0.008,overproduction
WS0000390,OUT012,2023-10-22,ING021,0.008,spillage
WS0000391,OUT012,2025-02-10,ING015,0.008,expired
WS0000392,OUT017,2024-03-16,ING029,0.002,overproduction
WS0000393,OUT001,2024-11-30,ING030,0.045,expired
WS0000394,OUT015,2025-02-25,ING015,0.01,overproduction
WS0000395,OUT002,2024-09-02,ING023,0.021,overproduction
WS0000396,OUT014,2025-12-26,ING029,0.006,overproduction
WS0000397,OUT003,2023-09-24,ING020,0.005,overproduction
WS0000398,OUT011,2024-07-19,ING012,0.002,overproduction
WS0000399,OUT007,2024-07-22,ING013,0.042,overproduction
WS0000400,OUT016,2025-10-21,ING003,0.02,expired
WS0000401,OUT008,2025-02-14,ING028,0.024,overproduction
WS0000402,OUT014,2023-07-22,ING029,0.006,overproduction
WS0000403,OUT008,2024-01-09,ING008,0.005,expired
WS0000404,OUT002,2024-02-22,ING012,0.011,spillage
WS0000405,OUT012,2024-05-22,ING005,0.112,overproduction
WS0000406,OUT009,2023-12-12,ING026,0.023,expired
WS0000407,OUT013,2024-03-27,ING022,0.061,expired
WS0000408,OUT006,2024-12-05,ING023,0.118,overproduction
WS0000409,OUT014,2023-10-03,ING014,0.009,expired
WS0000410,OUT009,2025-08-12,ING002,0.027,expired
WS0000411,OUT015,2026-03-01,ING005,0.076,spillage
WS0000412,OUT013,2026-04-09,ING028,0.1,overproduction
WS0000413,OUT016,2025-06-09,ING022,0.032,spillage
WS0000414,OUT002,2023-10-24,ING026,0.036,spillage
WS0000415,OUT014,2024-08-24,ING021,0.003,expired
WS0000416,OUT016,2024-10-02,ING010,0.004,overproduction
WS0000417,OUT013,2026-01-07,ING022,0.058,expired
WS0000418,OUT007,2023-07-31,ING010,0.04,overproduction
WS0000419,OUT015,2023-11-28,ING010,0.006,expired
WS0000420,OUT004,2026-05-04,ING001,0.023,expired
WS0000421,OUT005,2025-10-25,ING022,0.156,overproduction
WS0000422,OUT013,2024-02-14,ING010,0.009,overproduction
WS0000423,OUT013,2024-04-30,ING010,0.008,overproduction
WS0000424,OUT010,2023-10-28,ING002,0.007,overproduction
WS0000425,OUT008,2026-06-06,ING014,0.017,expired
WS0000426,OUT012,2024-08-04,ING028,0.143,expired
WS0000427,OUT014,2024-05-03,ING006,0.003,expired
WS0000428,OUT011,2026-06-20,ING022,0.034,spillage
WS0000429,OUT007,2025-04-04,ING013,0.053,overproduction
WS0000430,OUT017,2025-09-09,ING029,0.013,expired
WS0000431,OUT009,2025-01-18,ING011,0.191,overproduction
WS0000432,OUT006,2026-05-01,ING009,0.051,overproduction
WS0000433,OUT014,2025-02-06,ING003,0.052,spillage
WS0000434,OUT003,2025-04-22,ING009,0.023,overproduction
WS0000435,OUT006,2026-01-31,ING023,0.292,overproduction
WS0000436,OUT008,2024-10-17,ING024,0.084,overproduction
WS0000437,OUT015,2024-08-25,ING018,0.135,overproduction
WS0000438,OUT009,2025-12-30,ING016,0.022,overproduction
WS0000439,OUT013,2026-06-19,ING026,0.06,spillage
WS0000440,OUT002,2025-07-04,ING011,0.052,expired
WS0000441,OUT003,2024-01-28,ING028,0.05,overproduction
WS0000442,OUT013,2024-12-04,ING013,0.047,spillage
WS0000443,OUT007,2024-02-10,ING003,0.147,overproduction
WS0000444,OUT006,2024-07-13,ING009,0.065,spillage
WS0000445,OUT014,2023-08-04,ING018,0.018,overproduction
WS0000446,OUT013,2023-09-28,ING025,0.03,expired
WS0000447,OUT015,2025-02-16,ING013,0.072,overproduction
WS0000448,OUT005,2026-04-24,ING001,0.142,expired
WS0000449,OUT003,2025-05-11,ING007,0.01,expired
WS0000450,OUT009,2025-09-15,ING022,0.104,expired
WS0000451,OUT002,2026-05-21,ING011,0.063,spillage
WS0000452,OUT012,2023-11-05,ING011,0.137,spillage
WS0000453,OUT017,2025-10-23,ING006,0.008,expired
WS0000454,OUT010,2024-07-08,ING012,0.019,expired
WS0000455,OUT008,2025-07-01,ING005,0.023,overproduction
WS0000456,OUT016,2025-01-09,ING009,0.009,overproduction
WS0000457,OUT015,2024-07-20,ING009,0.071,expired
WS0000458,OUT010,2025-08-04,ING020,0.003,overproduction
WS0000459,OUT006,2026-01-31,ING019,0.223,expired
WS0000460,OUT013,2024-07-02,ING022,0.157,expired
WS0000461,OUT010,2026-06-26,ING012,0.019,expired
WS0000462,OUT010,2025-08-09,ING002,0.014,expired
