room_id,property_id,room_number,room_type,floor,status
RM0115,P01,V13,Villa,1,cleaning
RM0116,P01,V14,Villa,1,cleaning
RM0117,P01,V15,Villa,1,occupied
RM0118,P01,V16,Villa,1,occupied
RM0119,P01,V17,Villa,1,occupied
RM0120,P01,V18,Villa,1,available
RM0121,P02,101,Standard,1,occupied
RM0122,P02,102,Standard,1,occupied
RM0123,P02,103,Standard,1,occupied
RM0124,P02,104,Standard,1,occupied
RM0125,P02,105,Standard,1,available
RM0126,P02,106,Standard,1,occupied
RM0127,P02,107,Standard,1,available
RM0128,P02,108,Standard,1,maintenance
RM0129,P02,109,Standard,1,cleaning
RM0130,P02,110,Standard,1,cleaning
RM0131,P02,111,Standard,1,occupied
RM0132,P02,112,Standard,1,available
RM0133,P02,113,Standard,1,cleaning
RM0134,P02,114,Standard,1,maintenance
RM0135,P02,115,Standard,1,available
RM0136,P02,116,Standard,1,occupied
RM0137,P02,201,Standard,2,available
RM0138,P02,202,Standard,2,occupied
RM0139,P02,203,Standard,2,occupied
RM0140,P02,204,Standard,2,available
RM0141,P02,205,Standard,2,occupied
RM0142,P02,206,Standard,2,occupied
RM0143,P02,207,Standard,2,available
RM0144,P02,208,Standard,2,cleaning
RM0145,P02,209,Standard,2,occupied
RM0146,P02,210,Standard,2,available
RM0147,P02,211,Standard,2,occupied
RM0148,P02,212,Standard,2,occupied
RM0149,P02,213,Standard,2,available
RM0150,P02,214,Standard,2,occupied
RM0151,P02,215,Standard,2,out-of-order
RM0152,P02,216,Standard,2,occupied
RM0153,P02,301,Standard,3,occupied
RM0154,P02,302,Standard,3,occupied
RM0155,P02,303,Standard,3,available
RM0156,P02,304,Standard,3,available
RM0157,P02,305,Standard,3,occupied
RM0158,P02,306,Standard,3,occupied
RM0159,P02,307,Standard,3,available
RM0160,P02,308,Standard,3,available
RM0161,P02,309,Standard,3,available
RM0162,P02,310,Standard,3,occupied
RM0163,P02,311,Standard,3,available
RM0164,P02,312,Standard,3,cleaning
RM0165,P02,313,Standard,3,cleaning
RM0166,P02,314,Standard,3,available
RM0167,P02,315,Standard,3,available
RM0168,P02,316,Standard,3,occupied
RM0169,P02,401,Standard,4,available
RM0170,P02,402,Standard,4,available
RM0171,P02,403,Standard,4,maintenance
RM0172,P02,404,Standard,4,occupied
RM0173,P02,405,Standard,4,occupied
RM0174,P02,406,Standard,4,occupied
RM0175,P02,407,Standard,4,occupied
RM0176,P02,408,Standard,4,available
RM0177,P02,409,Standard,4,available
RM0178,P02,410,Standard,4,occupied
RM0179,P02,411,Standard,4,occupied
RM0180,P02,412,Standard,4,occupied
RM0181,P02,413,Standard,4,occupied
RM0182,P02,414,Standard,4,occupied
RM0183,P02,415,Standard,4,out-of-order
RM0184,P02,416,Standard,4,available
RM0185,P02,501,Standard,5,occupied
RM0186,P02,502,Standard,5,occupied
RM0187,P02,503,Standard,5,cleaning
RM0188,P02,504,Standard,5,available
RM0189,P02,505,Standard,5,available
RM0190,P02,506,Standard,5,occupied
RM0191,P02,507,Standard,5,occupied
RM0192,P02,508,Standard,5,available
RM0193,P02,509,Standard,5,available
RM0194,P02,510,Standard,5,maintenance
RM0195,P02,511,Standard,5,occupied
RM0196,P02,512,Standard,5,cleaning
RM0197,P02,513,Standard,5,occupied
RM0198,P02,514,Standard,5,available
RM0199,P02,515,Standard,5,out-of-order
RM0200,P02,516,Standard,5,cleaning
RM0201,P02,601,Standard,6,maintenance
RM0202,P02,602,Standard,6,maintenance
RM0203,P02,603,Standard,6,cleaning
RM0204,P02,604,Standard,6,available
RM0205,P02,605,Standard,6,occupied
RM0206,P02,606,Standard,6,available
RM0207,P02,607,Standard,6,occupied
RM0208,P02,608,Standard,6,available
RM0209,P02,609,Standard,6,occupied
RM0210,P02,610,Standard,6,out-of-order
RM0211,P02,611,Deluxe,6,available
RM0212,P02,612,Deluxe,6,occupied
RM0213,P02,613,Deluxe,6,occupied
RM0214,P02,614,Deluxe,6,occupied
RM0215,P02,615,Deluxe,6,maintenance
RM0216,P02,616,Deluxe,6,out-of-order
RM0217,P02,701,Deluxe,7,occupied
RM0218,P02,702,Deluxe,7,occupied
RM0219,P02,703,Deluxe,7,available
RM0220,P02,704,Deluxe,7,occupied
RM0221,P02,705,Deluxe,7,maintenance
RM0222,P02,706,Deluxe,7,occupied
RM0223,P02,707,Deluxe,7,occupied
RM0224,P02,708,Deluxe,7,occupied
RM0225,P02,709,Deluxe,7,available
RM0226,P02,710,Deluxe,7,occupied
RM0227,P02,711,Deluxe,7,occupied
RM0228,P02,712,Deluxe,7,cleaning
RM0229,P02,713,Deluxe,7,available
RM0230,P02,714,Deluxe,7,maintenance
RM0231,P02,715,Deluxe,7,available
RM0232,P02,716,Deluxe,7,available
RM0233,P02,801,Deluxe,8,occupied
RM0234,P02,802,Deluxe,8,occupied
RM0235,P02,803,Deluxe,8,available
RM0236,P02,804,Deluxe,8,available
RM0237,P02,805,Deluxe,8,cleaning
RM0238,P02,806,Deluxe,8,available
RM0239,P02,807,Deluxe,8,occupied
RM0240,P02,808,Deluxe,8,occupied
RM0241,P02,809,Deluxe,8,occupied
RM0242,P02,810,Deluxe,8,occupied
RM0243,P02,811,Deluxe,8,occupied
RM0244,P02,812,Deluxe,8,maintenance
RM0245,P02,813,Deluxe,8,available
RM0246,P02,814,Deluxe,8,occupied
RM0247,P02,815,Deluxe,8,available
RM0248,P02,816,Deluxe,8,occupied
RM0249,P02,901,Deluxe,9,occupied
RM0250,P02,902,Deluxe,9,occupied
RM0251,P02,903,Deluxe,9,occupied
RM0252,P02,904,Deluxe,9,occupied
RM0253,P02,905,Deluxe,9,available
RM0254,P02,906,Deluxe,9,occupied
RM0255,P02,907,Deluxe,9,out-of-order
RM0256,P02,908,Deluxe,9,out-of-order
RM0257,P02,909,Deluxe,9,available
RM0258,P02,910,Deluxe,9,available
RM0259,P02,911,Deluxe,9,available
RM0260,P02,912,Deluxe,9,maintenance
RM0261,P02,913,Deluxe,9,cleaning
RM0262,P02,914,Deluxe,9,cleaning
RM0263,P02,915,Deluxe,9,occupied
RM0264,P02,916,Deluxe,9,available
RM0265,P02,1001,Deluxe,10,cleaning
RM0266,P02,1002,Deluxe,10,occupied
RM0267,P02,1003,Deluxe,10,occupied
RM0268,P02,1004,Deluxe,10,out-of-order
RM0269,P02,1005,Deluxe,10,occupied
RM0270,P02,1006,Deluxe,10,available
RM0271,P02,1007,Deluxe,10,occupied
RM0272,P02,1008,Deluxe,10,occupied
RM0273,P02,1009,Deluxe,10,occupied
RM0274,P02,1010,Deluxe,10,maintenance
RM0275,P02,1011,Deluxe,10,available
RM0276,P02,1012,Deluxe,10,available
RM0277,P02,1013,Deluxe,10,available
RM0278,P02,1014,Deluxe,10,occupied
RM0279,P02,1015,Deluxe,10,available
RM0280,P02,1016,Deluxe,10,occupied
RM0281,P02,1101,Suite,11,occupied
RM0282,P02,1102,Suite,11,available
RM0283,P02,1103,Suite,11,occupied
RM0284,P02,1104,Suite,11,available
RM0285,P02,1105,Suite,11,occupied
RM0286,P02,1106,Suite,11,cleaning
RM0287,P02,1107,Suite,11,cleaning
RM0288,P02,1108,Suite,11,available
RM0289,P02,1109,Suite,11,occupied
RM0290,P02,1110,Suite,11,available
RM0291,P02,1111,Suite,11,available
RM0292,P02,1112,Suite,11,occupied
RM0293,P02,1113,Suite,11,occupied
RM0294,P02,1114,Suite,11,available
RM0295,P02,1115,Suite,11,occupied
RM0296,P02,1116,Suite,11,occupied
RM0297,P02,1201,Suite,12,occupied
RM0298,P02,1202,Suite,12,available
RM0299,P02,1203,Suite,12,available
RM0300,P02,1204,Suite,12,cleaning
RM0301,P02,1205,Suite,12,cleaning
RM0302,P02,1206,Suite,12,occupied
RM0303,P02,1207,Suite,12,cleaning
RM0304,P02,1208,Suite,12,occupied
RM0305,P02,1209,Suite,12,available
RM0306,P02,1210,Suite,12,available
RM0307,P02,1211,Suite,12,occupied
RM0308,P02,1212,Suite,12,cleaning
RM0309,P02,1213,Suite,12,occupied
RM0310,P02,1214,Suite,12,cleaning
RM0311,P02,1215,Suite,12,cleaning
RM0312,P02,1216,Suite,12,available
RM0313,P02,1201,Suite,12,available
RM0314,P02,1202,Suite,12,available
RM0315,P02,1203,Suite,12,occupied
RM0316,P02,1204,Suite,12,cleaning
RM0317,P02,1205,Suite,12,occupied
RM0318,P02,1206,Suite,12,occupied
RM0319,P02,1207,Suite,12,available
RM0320,P02,1208,Suite,12,maintenance
RM0321,P03,101,Standard,1,cleaning
RM0322,P03,102,Standard,1,maintenance
RM0323,P03,103,Standard,1,occupied
RM0324,P03,104,Standard,1,cleaning
RM0325,P03,105,Standard,1,available
RM0326,P03,106,Standard,1,occupied
RM0327,P03,107,Standard,1,occupied
RM0328,P03,108,Standard,1,maintenance
RM0329,P03,109,Standard,1,occupied
RM0330,P03,110,Standard,1,cleaning
RM0331,P03,111,Standard,1,occupied
RM0332,P03,112,Standard,1,available
RM0333,P03,113,Standard,1,occupied
RM0334,P03,114,Standard,1,available
RM0335,P03,115,Standard,1,cleaning
RM0336,P03,116,Standard,1,cleaning
RM0337,P03,117,Standard,1,available
RM0338,P03,118,Standard,1,occupied
RM0339,P03,119,Standard,1,occupied
RM0340,P03,120,Standard,1,occupied
RM0341,P03,121,Standard,1,occupied
RM0342,P03,122,Standard,1,available
RM0343,P03,123,Standard,1,available
RM0344,P03,124,Standard,1,available
RM0345,P03,125,Standard,1,occupied
RM0346,P03,126,Standard,1,cleaning
RM0347,P03,127,Standard,1,maintenance
RM0348,P03,128,Standard,1,available
RM0349,P03,129,Standard,1,occupied
RM0350,P03,201,Standard,2,occupied
RM0351,P03,202,Standard,2,out-of-order
RM0352,P03,203,Standard,2,occupied
RM0353,P03,204,Standard,2,maintenance
RM0354,P03,205,Standard,2,available
RM0355,P03,206,Standard,2,maintenance
RM0356,P03,207,Standard,2,available
RM0357,P03,208,Standard,2,maintenance
RM0358,P03,209,Standard,2,available
RM0359,P03,210,Standard,2,available
RM0360,P03,211,Standard,2,occupied
RM0361,P03,212,Deluxe,2,occupied
RM0362,P03,213,Deluxe,2,occupied
RM0363,P03,214,Deluxe,2,occupied
RM0364,P03,215,Deluxe,2,occupied
RM0365,P03,216,Deluxe,2,occupied
RM0366,P03,217,Deluxe,2,occupied
RM0367,P03,218,Deluxe,2,available
RM0368,P03,219,Deluxe,2,occupied
RM0369,P03,220,Deluxe,2,available
RM0370,P03,221,Deluxe,2,maintenance
RM0371,P03,222,Deluxe,2,occupied
RM0372,P03,223,Deluxe,2,occupied
RM0373,P03,224,Deluxe,2,occupied
RM0374,P03,225,Deluxe,2,occupied
RM0375,P03,226,Deluxe,2,occupied
RM0376,P03,227,Deluxe,2,available
RM0377,P03,228,Deluxe,2,occupied
RM0378,P03,229,Deluxe,2,occupied
RM0379,P03,301,Deluxe,3,occupied
RM0380,P03,302,Deluxe,3,cleaning
RM0381,P03,303,Deluxe,3,occupied
RM0382,P03,304,Deluxe,3,occupied
RM0383,P03,305,Deluxe,3,occupied
RM0384,P03,306,Deluxe,3,occupied
RM0385,P03,307,Deluxe,3,occupied
RM0386,P03,308,Deluxe,3,occupied
RM0387,P03,309,Deluxe,3,available
RM0388,P03,310,Deluxe,3,occupied
RM0389,P03,311,Deluxe,3,maintenance
RM0390,P03,312,Deluxe,3,occupied
RM0391,P03,313,Deluxe,3,cleaning
RM0392,P03,314,Suite,3,occupied
RM0393,P03,315,Suite,3,occupied
RM0394,P03,316,Suite,3,occupied
RM0395,P03,317,Suite,3,available
RM0396,P03,318,Suite,3,occupied
RM0397,P03,319,Suite,3,occupied
RM0398,P03,320,Suite,3,occupied
RM0399,P03,321,Suite,3,occupied
RM0400,P03,322,Suite,3,occupied
RM0401,P03,323,Suite,3,occupied
RM0402,P03,324,Suite,3,available
RM0403,P03,325,Suite,3,occupied
RM0404,P03,326,Suite,3,cleaning
RM0405,P03,327,Suite,3,occupied
RM0406,P03,328,Suite,3,available
RM0407,P03,329,Suite,3,available
RM0408,P03,301,Suite,3,occupied
RM0409,P03,302,Suite,3,occupied
RM0410,P04,101,Standard,1,occupied
RM0411,P04,102,Standard,1,occupied
RM0412,P04,103,Standard,1,occupied
RM0413,P04,104,Standard,1,occupied
RM0414,P04,105,Standard,1,available
RM0415,P04,106,Standard,1,available
RM0416,P04,107,Standard,1,available
RM0417,P04,108,Standard,1,available
RM0418,P04,109,Standard,1,occupied
RM0419,P04,110,Standard,1,cleaning
RM0420,P04,111,Standard,1,available
RM0421,P04,112,Standard,1,occupied
RM0422,P04,113,Standard,1,occupied
RM0423,P04,114,Standard,1,available
RM0424,P04,115,Standard,1,occupied
RM0425,P04,116,Standard,1,occupied
RM0426,P04,117,Standard,1,available
RM0427,P04,118,Standard,1,occupied
RM0428,P04,201,Standard,2,available
RM0429,P04,202,Standard,2,occupied
RM0430,P04,203,Standard,2,occupied
RM0431,P04,204,Standard,2,available
RM0432,P04,205,Standard,2,occupied
RM0433,P04,206,Standard,2,available
RM0434,P04,207,Standard,2,maintenance
RM0435,P04,208,Standard,2,occupied
RM0436,P04,209,Standard,2,available
RM0437,P04,210,Standard,2,available
RM0438,P04,211,Standard,2,cleaning
RM0439,P04,212,Standard,2,occupied
RM0440,P04,213,Standard,2,occupied
RM0441,P04,214,Standard,2,occupied
RM0442,P04,215,Deluxe,2,out-of-order
RM0443,P04,216,Deluxe,2,occupied
RM0444,P04,217,Deluxe,2,maintenance
RM0445,P04,218,Deluxe,2,cleaning
RM0446,P04,301,Deluxe,3,occupied
RM0447,P04,302,Deluxe,3,occupied
RM0448,P04,303,Deluxe,3,occupied
RM0449,P04,304,Deluxe,3,cleaning
RM0450,P04,305,Deluxe,3,occupied
RM0451,P04,306,Deluxe,3,cleaning
RM0452,P04,307,Deluxe,3,occupied
RM0453,P04,308,Deluxe,3,occupied
RM0454,P04,309,Deluxe,3,available
RM0455,P04,310,Deluxe,3,available
RM0456,P04,311,Deluxe,3,occupied
RM0457,P04,312,Deluxe,3,occupied
RM0458,P04,313,Deluxe,3,occupied
RM0459,P04,314,Deluxe,3,occupied
RM0460,P04,315,Deluxe,3,available
RM0461,P04,316,Deluxe,3,available
RM0462,P04,317,Deluxe,3,occupied
RM0463,P04,318,Deluxe,3,available
RM0464,P04,401,Deluxe,4,occupied
RM0465,P04,402,Deluxe,4,occupied
RM0466,P04,403,Deluxe,4,available
RM0467,P04,404,Deluxe,4,available
RM0468,P04,405,Deluxe,4,occupied
RM0469,P04,406,Deluxe,4,occupied
RM0470,P04,407,Suite,4,available
RM0471,P04,408,Suite,4,occupied
RM0472,P04,409,Suite,4,occupied
RM0473,P04,410,Suite,4,occupied
RM0474,P04,411,Suite,4,available
RM0475,P04,412,Suite,4,occupied
RM0476,P04,413,Suite,4,cleaning
RM0477,P04,414,Suite,4,occupied
RM0478,P04,415,Suite,4,occupied
RM0479,P04,416,Suite,4,cleaning
RM0480,P04,417,Suite,4,occupied
RM0481,P04,418,Suite,4,occupied
RM0482,P04,V01,Villa,1,available
RM0483,P04,V02,Villa,1,occupied
RM0484,P04,V03,Villa,1,occupied
RM0485,P04,V04,Villa,1,cleaning
RM0486,P04,V05,Villa,1,maintenance
RM0487,P04,V06,Villa,1,occupied
RM0488,P04,V07,Villa,1,occupied
RM0489,P04,V08,Villa,1,occupied
RM0490,P05,101,Standard,1,occupied
RM0491,P05,102,Standard,1,available
RM0492,P05,103,Standard,1,available
RM0493,P05,104,Standard,1,occupied
RM0494,P05,105,Standard,1,available
RM0495,P05,106,Standard,1,occupied
RM0496,P05,107,Standard,1,occupied
RM0497,P05,108,Standard,1,occupied
RM0498,P05,109,Standard,1,available
RM0499,P05,110,Standard,1,occupied
RM0500,P05,111,Standard,1,available
RM0501,P05,112,Standard,1,occupied
RM0502,P05,113,Standard,1,available
RM0503,P05,114,Standard,1,occupied
RM0504,P05,115,Standard,1,occupied
RM0505,P05,116,Standard,1,available
RM0506,P05,201,Standard,2,occupied
RM0507,P05,202,Standard,2,available
RM0508,P05,203,Deluxe,2,occupied
RM0509,P05,204,Deluxe,2,available
RM0510,P05,205,Deluxe,2,occupied
RM0511,P05,206,Deluxe,2,available
RM0512,P05,207,Deluxe,2,occupied
RM0513,P05,208,Deluxe,2,occupied
RM0514,P05,209,Deluxe,2,occupied
RM0515,P05,210,Deluxe,2,occupied
RM0516,P05,211,Deluxe,2,cleaning
RM0517,P05,212,Deluxe,2,available
RM0518,P05,213,Deluxe,2,available
RM0519,P05,214,Deluxe,2,available
RM0520,P05,215,Deluxe,2,occupied
RM0521,P05,216,Deluxe,2,out-of-order
RM0522,P05,301,Deluxe,3,occupied
RM0523,P05,302,Deluxe,3,occupied
RM0524,P05,303,Deluxe,3,occupied
RM0525,P05,304,Deluxe,3,occupied
RM0526,P05,305,Suite,3,occupied
RM0527,P05,306,Suite,3,maintenance
RM0528,P05,307,Suite,3,available
RM0529,P05,308,Suite,3,available
RM0530,P05,309,Suite,3,available
RM0531,P05,310,Suite,3,available
RM0532,P05,311,Suite,3,occupied
RM0533,P05,312,Suite,3,occupied
RM0534,P05,313,Suite,3,available
RM0535,P05,314,Suite,3,occupied
RM0536,P05,315,Suite,3,occupied
RM0537,P05,316,Suite,3,available
RM0538,P05,V01,Villa,1,occupied
RM0539,P05,V02,Villa,1,occupied
RM0540,P05,V03,Villa,1,available
RM0541,P05,V04,Villa,1,occupied
RM0542,P05,V05,Villa,1,maintenance
RM0543,P05,V06,Villa,1,available
RM0544,P05,V07,Villa,1,available
RM0545,P05,V08,Villa,1,occupied
RM0546,P05,V09,Villa,1,occupied
RM0547,P05,V10,Villa,1,maintenance
RM0548,P05,V11,Villa,1,occupied
RM0549,P05,V12,Villa,1,occupied
