ingredient_id,outlet_id,ingredient_name,unit,stock_current,stock_min_threshold,unit_cost
ING026,OUT007,Wine House,pcs,31.23,9.51,205630.0
ING027,OUT007,Es Batu Kristal,kg,57.58,74.06,4500.0
ING028,OUT007,Santan Kelapa,liter,28.88,10.48,22380.0
ING029,OUT007,Kecap Manis,liter,1.22,1.64,26980.0
ING030,OUT007,Rempah Mix,kg,1.13,0.55,80130.0
ING001,OUT008,Beras Premium,kg,10.39,3.17,16870.0
ING002,OUT008,Daging Sapi,kg,4.0,1.74,161010.0
ING003,OUT008,Daging Ayam,kg,20.83,6.61,42740.0
ING005,OUT008,Udang,kg,2.33,1.09,123940.0
ING006,OUT008,Cabai Merah,kg,1.28,0.8,54290.0
ING007,OUT008,Bawang Merah,kg,1.56,0.93,35190.0
ING008,OUT008,Bawang Putih,kg,0.32,0.18,39860.0
ING009,OUT008,Telur,kg,0.81,1.5,31310.0
ING010,OUT008,Minyak Goreng,liter,3.1,1.42,19950.0
ING011,OUT008,Tepung Terigu,kg,4.56,3.0,13580.0
ING012,OUT008,Gula Pasir,kg,1.26,0.88,17980.0
ING013,OUT008,Susu UHT,liter,4.64,1.57,24860.0
ING014,OUT008,Keju Mozzarella,kg,0.44,0.53,138420.0
ING015,OUT008,Mentega,kg,0.92,0.35,75480.0
ING016,OUT008,Kopi Arabika,kg,1.07,0.48,205740.0
ING017,OUT008,Teh Premium,kg,0.25,0.12,104960.0
ING018,OUT008,Sayuran Segar Mix,kg,0.87,1.85,20740.0
ING019,OUT008,Kentang,kg,13.73,4.22,15440.0
ING020,OUT008,Tomat,kg,0.46,0.23,14350.0
ING021,OUT008,Coklat Couverture,kg,0.93,0.36,162510.0
ING022,OUT008,Buah Segar Mix,kg,14.05,5.53,38490.0
ING024,OUT008,Soda Water,liter,9.95,3.96,9020.0
ING025,OUT008,Bir Kaleng,pcs,5.64,4.07,30960.0
ING027,OUT008,Es Batu Kristal,kg,15.76,4.99,4500.0
ING028,OUT008,Santan Kelapa,liter,2.12,1.05,22380.0
ING029,OUT008,Kecap Manis,liter,2.03,1.0,26980.0
ING030,OUT008,Rempah Mix,kg,1.33,0.46,80130.0
ING001,OUT009,Beras Premium,kg,39.78,13.28,16870.0
ING002,OUT009,Daging Sapi,kg,2.37,3.05,161010.0
ING003,OUT009,Daging Ayam,kg,64.61,22.82,42740.0
ING004,OUT009,Ikan Kakap,kg,8.66,5.51,94090.0
ING005,OUT009,Udang,kg,15.87,5.82,123940.0
ING006,OUT009,Cabai Merah,kg,15.46,5.6,54290.0
ING007,OUT009,Bawang Merah,kg,9.33,3.11,35190.0
ING008,OUT009,Bawang Putih,kg,3.67,1.18,39860.0
ING009,OUT009,Telur,kg,19.16,6.68,31310.0
ING010,OUT009,Minyak Goreng,liter,1.59,3.35,19950.0
ING011,OUT009,Tepung Terigu,kg,13.92,5.31,13580.0
ING012,OUT009,Gula Pasir,kg,6.77,2.87,17980.0
ING013,OUT009,Susu UHT,liter,13.46,4.72,24860.0
ING014,OUT009,Keju Mozzarella,kg,9.22,2.78,138420.0
ING015,OUT009,Mentega,kg,3.45,1.18,75480.0
ING016,OUT009,Kopi Arabika,kg,4.18,1.49,205740.0
ING017,OUT009,Teh Premium,kg,0.37,0.21,104960.0
ING018,OUT009,Sayuran Segar Mix,kg,62.16,18.66,20740.0
ING019,OUT009,Kentang,kg,1.75,5.68,15440.0
ING020,OUT009,Tomat,kg,4.76,2.3,14350.0
ING021,OUT009,Coklat Couverture,kg,1.1,0.59,162510.0
ING022,OUT009,Buah Segar Mix,kg,3.32,8.71,38490.0
ING024,OUT009,Soda Water,liter,19.51,10.46,9020.0
ING026,OUT009,Wine House,pcs,4.2,2.68,205630.0
ING027,OUT009,Es Batu Kristal,kg,27.91,8.99,4500.0
ING028,OUT009,Santan Kelapa,liter,6.38,4.01,22380.0
ING029,OUT009,Kecap Manis,liter,2.76,1.58,26980.0
ING030,OUT009,Rempah Mix,kg,0.95,2.15,80130.0
ING002,OUT010,Daging Sapi,kg,3.07,1.23,161010.0
ING003,OUT010,Daging Ayam,kg,5.45,2.82,42740.0
ING006,OUT010,Cabai Merah,kg,0.18,0.23,54290.0
ING007,OUT010,Bawang Merah,kg,1.26,0.46,35190.0
ING009,OUT010,Telur,kg,2.47,0.87,31310.0
ING010,OUT010,Minyak Goreng,liter,2.38,1.0,19950.0
ING011,OUT010,Tepung Terigu,kg,2.64,2.01,13580.0
ING012,OUT010,Gula Pasir,kg,1.86,0.91,17980.0
ING013,OUT010,Susu UHT,liter,0.58,1.21,24860.0
ING014,OUT010,Keju Mozzarella,kg,2.19,1.12,138420.0
ING015,OUT010,Mentega,kg,1.51,0.5,75480.0
ING016,OUT010,Kopi Arabika,kg,0.76,0.43,205740.0
ING017,OUT010,Teh Premium,kg,0.37,0.18,104960.0
ING018,OUT010,Sayuran Segar Mix,kg,7.29,2.44,20740.0
ING019,OUT010,Kentang,kg,10.57,4.0,15440.0
ING020,OUT010,Tomat,kg,1.23,0.52,14350.0
ING021,OUT010,Coklat Couverture,kg,0.52,0.37,162510.0
ING022,OUT010,Buah Segar Mix,kg,15.53,5.24,38490.0
ING023,OUT010,Sirup Cocktail,liter,7.16,3.31,60470.0
ING024,OUT010,Soda Water,liter,7.29,5.6,9020.0
ING025,OUT010,Bir Kaleng,pcs,6.8,4.18,30960.0
ING026,OUT010,Wine House,pcs,4.72,2.12,205630.0
ING027,OUT010,Es Batu Kristal,kg,38.21,15.6,4500.0
ING028,OUT010,Santan Kelapa,liter,6.32,2.83,22380.0
ING029,OUT010,Kecap Manis,liter,1.47,0.7,26980.0
ING030,OUT010,Rempah Mix,kg,0.48,0.23,80130.0
ING001,OUT011,Beras Premium,kg,6.5,2.56,16870.0
ING002,OUT011,Daging Sapi,kg,3.37,1.24,161010.0
ING003,OUT011,Daging Ayam,kg,6.59,3.72,42740.0
ING005,OUT011,Udang,kg,2.05,0.84,123940.0
ING006,OUT011,Cabai Merah,kg,0.69,0.46,54290.0
ING007,OUT011,Bawang Merah,kg,1.39,0.54,35190.0
ING008,OUT011,Bawang Putih,kg,0.21,0.13,39860.0
ING009,OUT011,Telur,kg,1.96,0.93,31310.0
ING010,OUT011,Minyak Goreng,liter,2.75,0.86,19950.0
ING011,OUT011,Tepung Terigu,kg,1.33,1.7,13580.0
ING012,OUT011,Gula Pasir,kg,0.3,0.49,17980.0
ING013,OUT011,Susu UHT,liter,2.79,1.18,24860.0
ING014,OUT011,Keju Mozzarella,kg,0.15,0.34,138420.0
ING015,OUT011,Mentega,kg,0.27,0.23,75480.0
ING016,OUT011,Kopi Arabika,kg,0.46,0.32,205740.0
ING017,OUT011,Teh Premium,kg,0.22,0.1,104960.0
ING018,OUT011,Sayuran Segar Mix,kg,0.58,1.05,20740.0
ING019,OUT011,Kentang,kg,8.35,3.35,15440.0
ING020,OUT011,Tomat,kg,0.56,0.18,14350.0
ING021,OUT011,Coklat Couverture,kg,1.01,0.33,162510.0
ING022,OUT011,Buah Segar Mix,kg,2.58,3.35,38490.0
ING024,OUT011,Soda Water,liter,5.67,2.93,9020.0
ING025,OUT011,Bir Kaleng,pcs,2.14,2.81,30960.0
ING027,OUT011,Es Batu Kristal,kg,3.75,3.02,4500.0
ING028,OUT011,Santan Kelapa,liter,1.34,0.82,22380.0
ING029,OUT011,Kecap Manis,liter,0.93,0.64,26980.0
ING030,OUT011,Rempah Mix,kg,0.33,0.28,80130.0
ING001,OUT012,Beras Premium,kg,25.95,16.06,16870.0
ING002,OUT012,Daging Sapi,kg,5.67,3.83,161010.0
ING003,OUT012,Daging Ayam,kg,80.49,27.87,42740.0
ING004,OUT012,Ikan Kakap,kg,15.75,6.66,94090.0
ING005,OUT012,Udang,kg,8.12,6.85,123940.0
ING006,OUT012,Cabai Merah,kg,21.72,6.84,54290.0
ING007,OUT012,Bawang Merah,kg,7.58,3.84,35190.0
ING008,OUT012,Bawang Putih,kg,2.44,1.43,39860.0
ING009,OUT012,Telur,kg,26.28,8.3,31310.0
ING010,OUT012,Minyak Goreng,liter,5.67,4.15,19950.0
ING011,OUT012,Tepung Terigu,kg,2.46,6.61,13580.0
ING012,OUT012,Gula Pasir,kg,8.37,3.59,17980.0
ING013,OUT012,Susu UHT,liter,16.39,5.81,24860.0
ING014,OUT012,Keju Mozzarella,kg,6.44,3.47,138420.0
ING015,OUT012,Mentega,kg,2.4,1.48,75480.0
ING016,OUT012,Kopi Arabika,kg,4.03,1.82,205740.0
ING017,OUT012,Teh Premium,kg,0.77,0.26,104960.0
ING018,OUT012,Sayuran Segar Mix,kg,34.26,23.36,20740.0
ING019,OUT012,Kentang,kg,3.33,6.76,15440.0
ING020,OUT012,Tomat,kg,6.7,2.72,14350.0
ING021,OUT012,Coklat Couverture,kg,0.86,0.67,162510.0
ING022,OUT012,Buah Segar Mix,kg,24.27,11.18,38490.0
ING024,OUT012,Soda Water,liter,18.6,13.02,9020.0
ING026,OUT012,Wine House,pcs,8.72,3.22,205630.0
ING027,OUT012,Es Batu Kristal,kg,22.75,11.41,4500.0
ING028,OUT012,Santan Kelapa,liter,11.97,4.88,22380.0
ING029,OUT012,Kecap Manis,liter,2.79,1.97,26980.0
ING030,OUT012,Rempah Mix,kg,3.64,2.63,80130.0
ING002,OUT013,Daging Sapi,kg,3.44,2.12,161010.0
ING003,OUT013,Daging Ayam,kg,16.0,5.62,42740.0
ING006,OUT013,Cabai Merah,kg,1.01,0.33,54290.0
ING007,OUT013,Bawang Merah,kg,1.76,0.66,35190.0
ING009,OUT013,Telur,kg,4.72,1.87,31310.0
ING010,OUT013,Minyak Goreng,liter,0.7,1.91,19950.0
ING011,OUT013,Tepung Terigu,kg,12.41,4.64,13580.0
ING012,OUT013,Gula Pasir,kg,4.53,2.19,17980.0
ING013,OUT013,Susu UHT,liter,1.49,2.08,24860.0
ING014,OUT013,Keju Mozzarella,kg,4.54,2.63,138420.0
ING015,OUT013,Mentega,kg,2.35,1.18,75480.0
ING016,OUT013,Kopi Arabika,kg,2.85,0.91,205740.0
ING017,OUT013,Teh Premium,kg,0.84,0.38,104960.0
ING018,OUT013,Sayuran Segar Mix,kg,16.54,5.53,20740.0
ING019,OUT013,Kentang,kg,13.96,7.62,15440.0
ING020,OUT013,Tomat,kg,2.66,1.06,14350.0
ING021,OUT013,Coklat Couverture,kg,0.83,0.45,162510.0
ING022,OUT013,Buah Segar Mix,kg,29.06,12.27,38490.0
ING023,OUT013,Sirup Cocktail,liter,12.71,7.61,60470.0
ING024,OUT013,Soda Water,liter,18.6,11.46,9020.0
ING025,OUT013,Bir Kaleng,pcs,17.35,8.23,30960.0
ING026,OUT013,Wine House,pcs,10.27,4.89,205630.0
ING027,OUT013,Es Batu Kristal,kg,56.85,37.25,4500.0
ING028,OUT013,Santan Kelapa,liter,16.19,5.35,22380.0
ING029,OUT013,Kecap Manis,liter,1.76,0.99,26980.0
ING030,OUT013,Rempah Mix,kg,0.9,0.33,80130.0
ING001,OUT014,Beras Premium,kg,6.25,2.66,16870.0
ING002,OUT014,Daging Sapi,kg,2.42,1.22,161010.0
ING003,OUT014,Daging Ayam,kg,5.36,3.7,42740.0
ING005,OUT014,Udang,kg,1.41,0.83,123940.0
ING006,OUT014,Cabai Merah,kg,1.16,0.45,54290.0
ING007,OUT014,Bawang Merah,kg,1.39,0.53,35190.0
ING008,OUT014,Bawang Putih,kg,0.23,0.12,39860.0
ING009,OUT014,Telur,kg,2.82,0.92,31310.0
ING010,OUT014,Minyak Goreng,liter,2.87,0.91,19950.0
ING011,OUT014,Tepung Terigu,kg,5.66,1.81,13580.0
ING012,OUT014,Gula Pasir,kg,1.4,0.47,17980.0
ING013,OUT014,Susu UHT,liter,2.52,1.14,24860.0
ING014,OUT014,Keju Mozzarella,kg,0.86,0.36,138420.0
ING015,OUT014,Mentega,kg,0.45,0.24,75480.0
ING016,OUT014,Kopi Arabika,kg,0.37,0.31,205740.0
ING017,OUT014,Teh Premium,kg,0.19,0.1,104960.0
ING018,OUT014,Sayuran Segar Mix,kg,1.81,1.06,20740.0
ING019,OUT014,Kentang,kg,11.39,3.53,15440.0
ING020,OUT014,Tomat,kg,0.46,0.19,14350.0
ING021,OUT014,Coklat Couverture,kg,0.68,0.33,162510.0
ING022,OUT014,Buah Segar Mix,kg,5.72,3.4,38490.0
ING024,OUT014,Soda Water,liter,5.7,3.09,9020.0
ING025,OUT014,Bir Kaleng,pcs,5.74,2.75,30960.0
ING027,OUT014,Es Batu Kristal,kg,7.53,2.99,4500.0
ING028,OUT014,Santan Kelapa,liter,1.91,0.79,22380.0
ING029,OUT014,Kecap Manis,liter,1.92,0.64,26980.0
ING030,OUT014,Rempah Mix,kg,0.07,0.27,80130.0
ING001,OUT015,Beras Premium,kg,20.12,11.81,16870.0
ING002,OUT015,Daging Sapi,kg,3.58,2.81,161010.0
ING003,OUT015,Daging Ayam,kg,15.74,20.14,42740.0
ING004,OUT015,Ikan Kakap,kg,8.21,4.9,94090.0
ING005,OUT015,Udang,kg,13.52,5.13,123940.0
ING006,OUT015,Cabai Merah,kg,14.56,4.91,54290.0
ING007,OUT015,Bawang Merah,kg,5.25,2.77,35190.0
ING008,OUT015,Bawang Putih,kg,2.53,1.03,39860.0
ING009,OUT015,Telur,kg,18.32,6.01,31310.0
ING010,OUT015,Minyak Goreng,liter,7.95,3.01,19950.0
ING011,OUT015,Tepung Terigu,kg,9.71,4.74,13580.0
ING012,OUT015,Gula Pasir,kg,4.52,2.54,17980.0
ING013,OUT015,Susu UHT,liter,9.04,4.09,24860.0
ING014,OUT015,Keju Mozzarella,kg,4.07,2.52,138420.0
ING015,OUT015,Mentega,kg,1.69,1.07,75480.0
ING016,OUT015,Kopi Arabika,kg,4.24,1.3,205740.0
ING017,OUT015,Teh Premium,kg,0.39,0.19,104960.0
ING018,OUT015,Sayuran Segar Mix,kg,55.06,16.64,20740.0
ING019,OUT015,Kentang,kg,11.06,5.17,15440.0
ING020,OUT015,Tomat,kg,5.67,2.0,14350.0
ING021,OUT015,Coklat Couverture,kg,1.54,0.56,162510.0
ING022,OUT015,Buah Segar Mix,kg,15.62,7.89,38490.0
ING024,OUT015,Soda Water,liter,24.08,9.33,9020.0
ING026,OUT015,Wine House,pcs,1.86,2.35,205630.0
ING027,OUT015,Es Batu Kristal,kg,18.24,8.01,4500.0
ING028,OUT015,Santan Kelapa,liter,6.57,3.49,22380.0
ING029,OUT015,Kecap Manis,liter,1.07,1.47,26980.0
ING030,OUT015,Rempah Mix,kg,5.54,1.89,80130.0
ING002,OUT016,Daging Sapi,kg,0.88,1.11,161010.0
ING003,OUT016,Daging Ayam,kg,7.89,2.4,42740.0
ING006,OUT016,Cabai Merah,kg,0.65,0.21,54290.0
ING007,OUT016,Bawang Merah,kg,0.72,0.41,35190.0
ING009,OUT016,Telur,kg,1.32,0.72,31310.0
ING010,OUT016,Minyak Goreng,liter,2.15,0.96,19950.0
ING011,OUT016,Tepung Terigu,kg,2.56,1.55,13580.0
ING012,OUT016,Gula Pasir,kg,1.45,0.68,17980.0
ING013,OUT016,Susu UHT,liter,0.68,1.1,24860.0
ING014,OUT016,Keju Mozzarella,kg,1.19,0.87,138420.0
ING015,OUT016,Mentega,kg,0.94,0.38,75480.0
ING016,OUT016,Kopi Arabika,kg,0.78,0.35,205740.0
ING017,OUT016,Teh Premium,kg,0.3,0.15,104960.0
ING018,OUT016,Sayuran Segar Mix,kg,6.28,2.02,20740.0
ING019,OUT016,Kentang,kg,8.01,3.83,15440.0
ING020,OUT016,Tomat,kg,1.03,0.44,14350.0
ING021,OUT016,Coklat Couverture,kg,1.04,0.33,162510.0
ING022,OUT016,Buah Segar Mix,kg,6.82,4.02,38490.0
ING023,OUT016,Sirup Cocktail,liter,4.34,2.6,60470.0
